Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	46/93	4.263796e-85	3.031559e-82	0	0	3.598258e+02	6.990321e+04	RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPL18A;RPS19;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPL39;RPS10;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	47/158	4.913743e-74	1.746836e-71	0	0	1.580967e+02	2.668661e+04	RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	48/183	1.101068e-72	2.609531e-70	0	0	1.351453e+02	2.239220e+04	RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;APOE;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Translation (GO:0006412)	47/234	6.073625e-65	1.079587e-62	0	0	9.348310e+01	1.382279e+04	RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Gene Expression (GO:0010467)	47/296	9.744098e-60	1.385611e-57	0	0	6.998538e+01	9.509504e+03	RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	16/118	6.708278e-19	7.949310e-17	0	0	3.697106e+01	1.547082e+03	RPS9;RPS8;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL38;RPL26;RPS24;RPS23
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	15/155	1.577573e-15	1.602363e-13	0	0	2.490756e+01	8.489217e+02	RPS9;RPS8;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL26;RPS24;RPS23
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	12/84	1.037943e-14	9.224720e-13	0	0	3.755303e+01	1.209168e+03	RPS15;RPS14;RPS25;RPS9;RPS16;RPS15A;RPS27;RPS19;RPS8;RPSA;RPS24;RPS23
GO_Biological_Process_2023	rRNA Processing (GO:0006364)	11/101	3.042886e-12	2.403880e-10	0	0	2.720474e+01	7.214212e+02	RPS15;RPS14;RPS25;RPS16;RPS27;RPS19;RPL11;RPL14;RPL35A;RPL26;RPS24
GO_Biological_Process_2023	rRNA Metabolic Process (GO:0016072)	10/91	2.833236e-11	2.014431e-09	0	0	2.718656e+01	6.602804e+02	RPS15;RPS25;RPS16;RPS27;RPS19;RPL11;RPL14;RPL35A;RPL26;RPS24
