Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020)	5/30	3.645208e-07	2.981780e-04	0	0	4.184211e+01	6.202959e+02	FKBP1A;PPP3CA;PPP3R1;CALM1;CALM2
GO_Biological_Process_2023	Negative Regulation Of Calcium Ion Transmembrane Transport (GO:1903170)	4/19	2.152504e-06	7.617567e-04	0	0	5.523611e+01	7.207693e+02	FKBP1A;PPP3CA;PPP3R1;CALM2
GO_Biological_Process_2023	Modulation Of Chemical Synaptic Transmission (GO:0050804)	7/123	2.793729e-06	7.617567e-04	0	0	1.283723e+01	1.641642e+02	PPP3CA;MEF2C;CLSTN1;CAMK2A;NPTXR;CPLX2;DLGAP3
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021)	4/27	9.451584e-06	1.797086e-03	0	0	3.600906e+01	4.166006e+02	PPP3CA;PPP3R1;CALM1;CALM2
GO_Biological_Process_2023	Negative Regulation Of Cation Channel Activity (GO:2001258)	4/28	1.098463e-05	1.797086e-03	0	0	3.450694e+01	3.940353e+02	FKBP1A;PPP3CA;PPP3R1;CALM2
GO_Biological_Process_2023	Response To Metal Ion (GO:0010038)	5/64	1.704984e-05	2.220111e-03	0	0	1.769938e+01	1.943280e+02	PPP3CA;SLC30A3;ITPKA;CALM1;CALM2
GO_Biological_Process_2023	Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019)	4/32	1.899851e-05	2.220111e-03	0	0	2.957143e+01	3.214754e+02	FKBP1A;CACNB3;CALM1;CALM2
GO_Biological_Process_2023	Positive Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901387)	3/12	2.582269e-05	2.640371e-03	0	0	6.835395e+01	7.221087e+02	PPP3CA;CACNB3;PPP3R1
GO_Biological_Process_2023	Synaptic Vesicle Cycle (GO:0099504)	4/37	3.423076e-05	3.111196e-03	0	0	2.508460e+01	2.579295e+02	SNAP25;SLC17A7;CPLX2;STX1A
GO_Biological_Process_2023	Positive Regulation Of Cation Channel Activity (GO:2001259)	4/38	3.811160e-05	3.117529e-03	0	0	2.434559e+01	2.477162e+02	PPP3CA;PPP3R1;CALM1;CALM2
GO_Biological_Process_2023	Regulation Of Neurotransmitter Receptor Activity (GO:0099601)	4/42	5.691212e-05	4.232192e-03	0	0	2.177851e+01	2.128632e+02	MEF2C;DLGAP3;NPTXR;CACNG3
GO_Biological_Process_2023	Ephrin Receptor Signaling Pathway (GO:0048013)	4/43	6.250942e-05	4.261059e-03	0	0	2.121902e+01	2.054042e+02	SIPA1L1;CHN1;KALRN;NGEF
GO_Biological_Process_2023	Vesicle-Mediated Transport In Synapse (GO:0099003)	3/18	9.371291e-05	5.896705e-03	0	0	4.100000e+01	3.802863e+02	SNAP25;CPLX2;STX1A
GO_Biological_Process_2023	Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)	4/51	1.227619e-04	7.172805e-03	0	0	1.760018e+01	1.584942e+02	FKBP1A;CALM1;CALM2;CX3CL1
GO_Biological_Process_2023	Positive Regulation Of Phosphatase Activity (GO:0010922)	3/22	1.743100e-04	9.049728e-03	0	0	3.236191e+01	2.800818e+02	MEF2C;CALM1;CALM2
GO_Biological_Process_2023	Regulation Of Cation Channel Activity (GO:2001257)	4/56	1.770118e-04	9.049728e-03	0	0	1.590385e+01	1.373980e+02	FKBP1A;CACNB3;CALM1;CALM2
GO_Biological_Process_2023	Response To Calcium Ion (GO:0051592)	5/106	1.920321e-04	9.240134e-03	0	0	1.031735e+01	8.829434e+01	PPP3CA;MEF2C;ITPKA;CALM1;CALM2
GO_Biological_Process_2023	Metal Ion Transport (GO:0030001)	6/171	2.195882e-04	9.302149e-03	0	0	7.634429e+00	6.431057e+01	KCNH3;CACNB3;CAMK2A;SLC17A7;ATP2B2;CACNG3
GO_Biological_Process_2023	Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060314)	3/24	2.274364e-04	9.302149e-03	0	0	2.927688e+01	2.455932e+02	FKBP1A;CALM1;CALM2
GO_Biological_Process_2023	Positive Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010800)	3/24	2.274364e-04	9.302149e-03	0	0	2.927688e+01	2.455932e+02	MAPK1;CALM1;CALM2
GO_Biological_Process_2023	Calcium Ion Transport (GO:0006816)	5/112	2.482775e-04	9.574858e-03	0	0	9.735858e+00	8.081700e+01	FKBP1A;CACNB3;CAMK2A;ATP2B2;CACNG3
GO_Biological_Process_2023	Ventricular Cardiac Muscle Tissue Development (GO:0003229)	3/25	2.575145e-04	9.574858e-03	0	0	2.794470e+01	2.309472e+02	MYBPC3;FKBP1A;ID2
GO_Biological_Process_2023	Positive Regulation Of Catecholamine Secretion (GO:0033605)	2/6	3.664322e-04	1.303224e-02	0	0	1.015102e+02	8.031180e+02	VIP;STX1A
GO_Biological_Process_2023	Regulation Of Striated Muscle Contraction (GO:0006942)	3/29	4.032210e-04	1.319339e-02	0	0	2.364076e+01	1.847768e+02	MYBPC3;CALM1;CALM2
