Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	18/93	4.096408e-24	3.744117e-21	0	0	5.802439e+01	3.124725e+03	RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	20/183	1.667518e-21	7.620556e-19	0	0	3.027147e+01	1.448277e+03	RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;APOE;RPL28;RPS21;RPS23
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	19/158	2.862794e-21	8.721979e-19	0	0	3.334746e+01	1.577418e+03	RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23
GO_Biological_Process_2023	Translation (GO:0006412)	19/234	5.404801e-18	1.234997e-15	0	0	2.147660e+01	8.538934e+02	RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23
GO_Biological_Process_2023	Gene Expression (GO:0010467)	19/296	4.337267e-16	7.928524e-14	0	0	1.661706e+01	5.878139e+02	RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23
GO_Biological_Process_2023	Myelination (GO:0042552)	6/48	1.390045e-07	2.117502e-05	0	0	3.017933e+01	4.764942e+02	PLLP;PLP1;MAL;GPM6B;SIRT2;BCAS1
GO_Biological_Process_2023	Regulation Of Protein-Containing Complex Assembly (GO:0043254)	7/119	2.239528e-06	2.924184e-04	0	0	1.329839e+01	1.730020e+02	HSP90AA1;GSN;RPS3;APOE;CLU;CRYAB;GFAP
GO_Biological_Process_2023	Ribosome Assembly (GO:0042255)	5/50	5.007414e-06	5.720970e-04	0	0	2.322222e+01	2.834177e+02	RPS15;RPL5;RPS14;RPLP0;RPSA
GO_Biological_Process_2023	Central Nervous System Myelination (GO:0022010)	3/11	1.943756e-05	1.973993e-03	0	0	7.690206e+01	8.342569e+02	PLP1;CLU;GPM6B
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	6/118	2.816378e-05	2.574170e-03	0	0	1.127736e+01	1.181582e+02	RPS15;RPL5;RPS14;RPS9;RPL7;RPS23
GO_Biological_Process_2023	Negative Regulation Of Neuron Apoptotic Process (GO:0043524)	5/74	3.462786e-05	2.877260e-03	0	0	1.512662e+01	1.553633e+02	NTRK2;MAG;APOE;CLU;MT3
GO_Biological_Process_2023	Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229)	3/15	5.282681e-05	4.023642e-03	0	0	5.125773e+01	5.048114e+02	RPS3;CLU;TPT1
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	5/84	6.379648e-05	4.229325e-03	0	0	1.320520e+01	1.275597e+02	RPS15;RPS14;RPS9;RPSA;RPS23
GO_Biological_Process_2023	Negative Regulation Of Amyloid-Beta Formation (GO:1902430)	3/16	6.478178e-05	4.229325e-03	0	0	4.731245e+01	4.563043e+02	NTRK2;APOE;CLU
GO_Biological_Process_2023	Ribosomal Small Subunit Assembly (GO:0000028)	3/17	7.837830e-05	4.552252e-03	0	0	4.393078e+01	4.153200e+02	RPS15;RPS14;RPSA
GO_Biological_Process_2023	Negative Regulation Of Neuron Death (GO:1901215)	5/88	7.968931e-05	4.552252e-03	0	0	1.256627e+01	1.185926e+02	NTRK2;MAG;APOE;CLU;MT3
GO_Biological_Process_2023	Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992)	3/18	9.371291e-05	4.882311e-03	0	0	4.100000e+01	3.802863e+02	NTRK2;APOE;CLU
GO_Biological_Process_2023	Negative Regulation Of Protein Metabolic Process (GO:0051248)	6/147	9.615055e-05	4.882311e-03	0	0	8.944771e+00	8.273552e+01	CST3;RPS3;APOE;CLU;CRYAB;SIRT2
GO_Biological_Process_2023	protein-RNA Complex Assembly (GO:0022618)	6/150	1.074678e-04	5.169766e-03	0	0	8.757092e+00	8.002511e+01	RPS15;RPL5;RPS14;HSP90AA1;RPLP0;RPSA
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	6/155	1.286615e-04	5.879831e-03	0	0	8.461088e+00	7.579718e+01	RPS15;RPL5;RPS14;RPS9;RPL7;RPS23
GO_Biological_Process_2023	Regulation Of Neuron Apoptotic Process (GO:0043523)	5/105	1.836957e-04	7.995137e-03	0	0	1.042105e+01	8.964429e+01	NTRK2;MAG;APOE;CLU;MT3
GO_Biological_Process_2023	Response To Reactive Oxygen Species (GO:0000302)	4/66	3.343231e-04	1.388961e-02	0	0	1.333199e+01	1.067013e+02	RPS3;APOD;APOE;MT3
GO_Biological_Process_2023	Regulation Of Protein Catabolic Process (GO:0042176)	5/122	3.688327e-04	1.465709e-02	0	0	8.899235e+00	7.034994e+01	EEF1A1;HSP90AA1;APOE;SIRT2;GFAP
GO_Biological_Process_2023	Regulation Of Programmed Cell Death (GO:0043067)	6/195	4.435030e-04	1.689007e-02	0	0	6.656873e+00	5.139642e+01	HSP90AA1;RPS3;CLU;CRYAB;ACTB;TPT1
GO_Biological_Process_2023	Regulation Of Chaperone-Mediated Autophagy (GO:1904714)	2/7	5.113328e-04	1.797531e-02	0	0	8.120408e+01	6.154043e+02	EEF1A1;GFAP
GO_Biological_Process_2023	Axon Ensheathment In Central Nervous System (GO:0032291)	2/7	5.113328e-04	1.797531e-02	0	0	8.120408e+01	6.154043e+02	PLP1;GPM6B
GO_Biological_Process_2023	Regulation Of Amyloid-Beta Formation (GO:1902003)	3/33	5.934099e-04	2.008802e-02	0	0	2.048454e+01	1.521924e+02	NTRK2;APOE;CLU
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	9/482	6.959617e-04	2.227374e-02	0	0	4.062054e+00	2.953201e+01	NTRK2;MAG;ANXA5;APOE;CLU;MT3;PTMA;CRYAB;TPT1
GO_Biological_Process_2023	Regulation Of Axon Extension (GO:0030516)	3/35	7.067159e-04	2.227374e-02	0	0	1.920232e+01	1.393106e+02	MAG;APOE;MT3
GO_Biological_Process_2023	Regulation Of Cellular Component Biogenesis (GO:0044087)	3/37	8.329374e-04	2.487414e-02	0	0	1.807095e+01	1.281330e+02	HSP90AA1;APOE;GFAP
GO_Biological_Process_2023	Regulation Of Tau-Protein Kinase Activity (GO:1902947)	2/9	8.708672e-04	2.487414e-02	0	0	5.799708e+01	4.086487e+02	HSP90AA1;CLU
GO_Biological_Process_2023	Myelin Maintenance (GO:0043217)	2/9	8.708672e-04	2.487414e-02	0	0	5.799708e+01	4.086487e+02	CLU;PRDX6
GO_Biological_Process_2023	Removal Of Superoxide Radicals (GO:0019430)	2/10	1.085038e-03	3.005228e-02	0	0	5.074490e+01	3.463918e+02	PRDX1;MT3
GO_Biological_Process_2023	Substantia Nigra Development (GO:0021762)	3/42	1.208591e-03	3.190998e-02	0	0	1.575020e+01	1.058146e+02	CNP;PLP1;SIRT2
GO_Biological_Process_2023	Negative Regulation Of Amide Metabolic Process (GO:0034249)	4/93	1.221936e-03	3.190998e-02	0	0	9.274813e+00	6.220913e+01	NTRK2;RPS3;APOE;CLU
GO_Biological_Process_2023	Cellular Response To Superoxide (GO:0071451)	2/11	1.321840e-03	3.265302e-02	0	0	4.510431e+01	2.989843e+02	PRDX1;MT3
GO_Biological_Process_2023	Negative Regulation Of Amyloid Fibril Formation (GO:1905907)	2/11	1.321840e-03	3.265302e-02	0	0	4.510431e+01	2.989843e+02	CLU;CRYAB
GO_Biological_Process_2023	Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)	4/96	1.374495e-03	3.306022e-02	0	0	8.971014e+00	5.911602e+01	GSN;RPS3;APOE;CLU
GO_Biological_Process_2023	Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334)	4/98	1.483293e-03	3.476231e-02	0	0	8.779255e+00	5.718359e+01	HSP90AA1;TPPP3;RPS3;CLU
GO_Biological_Process_2023	Axon Development (GO:0061564)	4/99	1.539882e-03	3.518631e-02	0	0	8.686404e+00	5.625358e+01	S100A6;PLP1;OLIG1;GPM6B
GO_Biological_Process_2023	Myelination In Peripheral Nervous System (GO:0022011)	2/12	1.581045e-03	3.524574e-02	0	0	4.059184e+01	2.618039e+02	PRDX6;SIRT2
GO_Biological_Process_2023	rRNA Processing (GO:0006364)	4/101	1.657541e-03	3.563578e-02	0	0	8.506443e+00	5.446182e+01	RPS15;RPL5;RPS14;RPL7
GO_Biological_Process_2023	Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796)	3/47	1.676519e-03	3.563578e-02	0	0	1.395689e+01	8.919897e+01	RPS15;RPL5;RPS20
GO_Biological_Process_2023	Regulation Of Neuron Projection Development (GO:0010975)	5/174	1.819983e-03	3.696587e-02	0	0	6.144815e+00	3.876720e+01	DDR1;NTRK2;MAG;APOE;MT3
GO_Biological_Process_2023	Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	5/174	1.819983e-03	3.696587e-02	0	0	6.144815e+00	3.876720e+01	RPL5;HSP90AA1;VIM;CLU;SIRT2
GO_Biological_Process_2023	Positive Regulation Of T Cell Receptor Signaling Pathway (GO:0050862)	2/13	1.862428e-03	3.700564e-02	0	0	3.689981e+01	2.319476e+02	CD81;RPS3
GO_Biological_Process_2023	Positive Regulation Of Transport (GO:0051050)	3/50	2.004676e-03	3.817237e-02	0	0	1.306405e+01	8.115744e+01	CHCHD10;APOE;ACTB
GO_Biological_Process_2023	Negative Regulation Of Cell Projection Organization (GO:0031345)	3/50	2.004676e-03	3.817237e-02	0	0	1.306405e+01	8.115744e+01	MAG;APOE;MT3
GO_Biological_Process_2023	Regulation Of Extracellular Matrix Disassembly (GO:0010715)	2/14	2.165765e-03	4.039815e-02	0	0	3.382313e+01	2.075043e+02	DDR1;CST3
GO_Biological_Process_2023	Negative Regulation Of Platelet Activation (GO:0010544)	2/15	2.490834e-03	4.155534e-02	0	0	3.121978e+01	1.871669e+02	CD9;APOE
GO_Biological_Process_2023	High-Density Lipoprotein Particle Remodeling (GO:0034375)	2/15	2.490834e-03	4.155534e-02	0	0	3.121978e+01	1.871669e+02	APOE;PLTP
GO_Biological_Process_2023	Regulation Of Amyloid Fibril Formation (GO:1905906)	2/15	2.490834e-03	4.155534e-02	0	0	3.121978e+01	1.871669e+02	CLU;CRYAB
GO_Biological_Process_2023	Regulation Of Amyloid-Beta Clearance (GO:1900221)	2/15	2.490834e-03	4.155534e-02	0	0	3.121978e+01	1.871669e+02	APOE;CLU
GO_Biological_Process_2023	Negative Regulation Of Neuron Projection Development (GO:0010977)	3/54	2.500595e-03	4.155534e-02	0	0	1.203699e+01	7.211635e+01	MAG;APOE;MT3
GO_Biological_Process_2023	Ribosomal Large Subunit Biogenesis (GO:0042273)	3/54	2.500595e-03	4.155534e-02	0	0	1.203699e+01	7.211635e+01	RPL5;RPLP0;RPL7
GO_Biological_Process_2023	Oligodendrocyte Development (GO:0014003)	2/16	2.837415e-03	4.549820e-02	0	0	2.898834e+01	1.700126e+02	PLP1;GPM6B
GO_Biological_Process_2023	Reverse Cholesterol Transport (GO:0043691)	2/16	2.837415e-03	4.549820e-02	0	0	2.898834e+01	1.700126e+02	APOE;CLU
GO_Biological_Process_2023	Central Nervous System Development (GO:0007417)	6/283	2.988578e-03	4.709587e-02	0	0	4.521776e+00	2.628489e+01	GSN;MOG;NNAT;MAL;FOXJ1;APOD
GO_Biological_Process_2023	Positive Regulation Of Protein Metabolic Process (GO:0051247)	5/196	3.048600e-03	4.722747e-02	0	0	5.430973e+00	3.146202e+01	RPL5;HSP90AA1;APOE;VIM;CLU
GO_Biological_Process_2023	Central Nervous System Neuron Development (GO:0021954)	2/17	3.205288e-03	4.882723e-02	0	0	2.705442e+01	1.553723e+02	NTRK2;HSP90AA1
GO_Biological_Process_2023	Myoblast Fusion (GO:0007520)	2/18	3.594237e-03	5.385463e-02	0	0	2.536224e+01	1.427495e+02	CD81;CD9
GO_Biological_Process_2023	Protein Stabilization (GO:0050821)	5/208	3.927309e-03	5.789614e-02	0	0	5.106819e+00	2.829076e+01	RPL5;HSP90AA1;CLU;MT3;CRYAB
GO_Biological_Process_2023	Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050857)	2/20	4.434500e-03	6.433544e-02	0	0	2.254195e+01	1.221400e+02	CD81;RPS3
GO_Biological_Process_2023	Negative Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000378)	2/21	4.885387e-03	6.765521e-02	0	0	2.135446e+01	1.136379e+02	MT3;SIRT2
GO_Biological_Process_2023	Chaperone-Mediated Protein Complex Assembly (GO:0051131)	2/21	4.885387e-03	6.765521e-02	0	0	2.135446e+01	1.136379e+02	HSP90AA1;CLU
GO_Biological_Process_2023	Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798)	2/21	4.885387e-03	6.765521e-02	0	0	2.135446e+01	1.136379e+02	RPS15;RPS20
GO_Biological_Process_2023	Supramolecular Fiber Organization (GO:0097435)	6/316	5.109019e-03	6.786208e-02	0	0	4.033631e+00	2.128445e+01	CST3;TPPP3;GSN;VIM;CNN3;GFAP
GO_Biological_Process_2023	Positive Regulation Of Protein Polymerization (GO:0032273)	3/70	5.209724e-03	6.786208e-02	0	0	9.155101e+00	4.813046e+01	HSP90AA1;TPPP3;RPS3
GO_Biological_Process_2023	Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404)	2/22	5.356497e-03	6.786208e-02	0	0	2.028571e+01	1.060830e+02	CD81;CD9
GO_Biological_Process_2023	Positive Regulation Of Cholesterol Efflux (GO:0010875)	2/22	5.356497e-03	6.786208e-02	0	0	2.028571e+01	1.060830e+02	APOE;PLTP
GO_Biological_Process_2023	Ribosomal Large Subunit Assembly (GO:0000027)	2/22	5.356497e-03	6.786208e-02	0	0	2.028571e+01	1.060830e+02	RPL5;RPLP0
GO_Biological_Process_2023	Negative Regulation Of Axonogenesis (GO:0050771)	2/22	5.356497e-03	6.786208e-02	0	0	2.028571e+01	1.060830e+02	MAG;MT3
GO_Biological_Process_2023	Negative Regulation Of Supramolecular Fiber Organization (GO:1902904)	3/71	5.420056e-03	6.786208e-02	0	0	9.020012e+00	4.706326e+01	APOE;CLU;CRYAB
GO_Biological_Process_2023	Negative Regulation Of Catabolic Process (GO:0009895)	3/72	5.635432e-03	6.951010e-02	0	0	8.888839e+00	4.603247e+01	CST3;RPL5;SIRT2
GO_Biological_Process_2023	Positive Regulation Of Transferase Activity (GO:0051347)	4/143	5.782682e-03	6.951010e-02	0	0	5.923561e+00	3.052345e+01	DDR1;NTRK2;HSP90AA1;APOE
GO_Biological_Process_2023	Negative Regulation Of Actin Filament Polymerization (GO:0030837)	2/23	5.847620e-03	6.951010e-02	0	0	1.931876e+01	9.933165e+01	GSN;TMSB4X
GO_Biological_Process_2023	Cellular Response To Reactive Oxygen Species (GO:0034614)	3/73	5.855884e-03	6.951010e-02	0	0	8.761414e+00	4.503637e+01	RPS3;CLU;MT3
GO_Biological_Process_2023	Positive Regulation Of Phosphorylation (GO:0042327)	5/231	6.095775e-03	7.142998e-02	0	0	4.581742e+00	2.336761e+01	DDR1;NTRK2;HSP90AA1;RARRES2;MT3
GO_Biological_Process_2023	Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116)	2/24	6.358547e-03	7.356598e-02	0	0	1.843970e+01	9.326719e+01	CST3;MT3
GO_Biological_Process_2023	Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902230)	2/25	6.889074e-03	7.870767e-02	0	0	1.763709e+01	8.779423e+01	CLU;TPT1
GO_Biological_Process_2023	Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)	2/27	8.008107e-03	9.036308e-02	0	0	1.622449e+01	7.832049e+01	HSP90AA1;CLU
GO_Biological_Process_2023	Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)	2/28	8.596207e-03	9.581626e-02	0	0	1.559969e+01	7.419888e+01	HSP90AA1;CLU
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	9/705	8.778125e-03	9.666514e-02	0	0	2.728875e+00	1.292256e+01	HSP90AA1;ANXA5;RPS3;CLU;MT3;PTMA;CRYAB;ACTB;TPT1
GO_Biological_Process_2023	Positive Regulation Of Amide Metabolic Process (GO:0034250)	3/85	8.907728e-03	9.692456e-02	0	0	7.474730e+00	3.528697e+01	RPL5;VIM;CLU
GO_Biological_Process_2023	Prostaglandin Metabolic Process (GO:0006693)	2/30	9.828578e-03	1.031367e-01	0	0	1.448397e+01	6.695156e+01	GSTM1;PTGDS
GO_Biological_Process_2023	Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	2/30	9.828578e-03	1.031367e-01	0	0	1.448397e+01	6.695156e+01	RPS14;RPS21
GO_Biological_Process_2023	Negative Regulation Of Axon Extension (GO:0030517)	2/30	9.828578e-03	1.031367e-01	0	0	1.448397e+01	6.695156e+01	MAG;MT3
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	6/364	9.930015e-03	1.031367e-01	0	0	3.484251e+00	1.607004e+01	RPL5;NTRK2;GSN;RPS3;CLU;MT3
GO_Biological_Process_2023	Positive Regulation Of Gene Expression (GO:0010628)	7/480	1.036106e-02	1.051848e-01	0	0	3.091432e+00	1.412692e+01	RPL5;NTRK2;GSN;RPS3;VIM;CLU;MT3
GO_Biological_Process_2023	Negative Regulation Of Developmental Growth (GO:0048640)	2/31	1.047245e-02	1.051848e-01	0	0	1.398381e+01	6.375231e+01	MAG;MT3
GO_Biological_Process_2023	Positive Regulation Of Cholesterol Transport (GO:0032376)	2/31	1.047245e-02	1.051848e-01	0	0	1.398381e+01	6.375231e+01	APOE;PLTP
GO_Biological_Process_2023	rRNA Metabolic Process (GO:0016072)	3/91	1.072357e-02	1.060099e-01	0	0	6.962980e+00	3.157928e+01	RPS15;RPL5;RPL7
GO_Biological_Process_2023	Positive Regulation Of Neuron Projection Development (GO:0010976)	3/92	1.104547e-02	1.060099e-01	0	0	6.884397e+00	3.101927e+01	DDR1;NTRK2;APOE
GO_Biological_Process_2023	Positive Regulation Of Protein Catabolic Process (GO:0045732)	3/92	1.104547e-02	1.060099e-01	0	0	6.884397e+00	3.101927e+01	HSP90AA1;CD81;APOE
GO_Biological_Process_2023	Regulation Of Cholesterol Efflux (GO:0010874)	2/32	1.113452e-02	1.060099e-01	0	0	1.351701e+01	6.079551e+01	APOE;PLTP
GO_Biological_Process_2023	Transition Metal Ion Transport (GO:0000041)	2/32	1.113452e-02	1.060099e-01	0	0	1.351701e+01	6.079551e+01	FTH1;MT3
GO_Biological_Process_2023	Regulation Of Protein Polymerization (GO:0032271)	2/33	1.181460e-02	1.113252e-01	0	0	1.308032e+01	5.805593e+01	HSP90AA1;TPPP3
GO_Biological_Process_2023	Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	4/179	1.250263e-02	1.132318e-01	0	0	4.696429e+00	2.057889e+01	DDR1;NTRK2;APOE;MT3
GO_Biological_Process_2023	Cellular Response To Hydrogen Peroxide (GO:0070301)	2/34	1.251248e-02	1.132318e-01	0	0	1.267092e+01	5.551166e+01	RPS3;CLU
GO_Biological_Process_2023	Superoxide Metabolic Process (GO:0006801)	2/34	1.251248e-02	1.132318e-01	0	0	1.267092e+01	5.551166e+01	PRDX1;MT3
GO_Biological_Process_2023	Regulation Of T Cell Receptor Signaling Pathway (GO:0050856)	2/34	1.251248e-02	1.132318e-01	0	0	1.267092e+01	5.551166e+01	CD81;RPS3
GO_Biological_Process_2023	ncRNA Processing (GO:0034470)	3/100	1.382176e-02	1.238538e-01	0	0	6.314061e+00	2.703372e+01	RPS15;RPL5;RPL7
GO_Biological_Process_2023	Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)	2/37	1.471109e-02	1.305430e-01	0	0	1.158309e+01	4.887084e+01	APOD;APOE
GO_Biological_Process_2023	Neuron Projection Development (GO:0031175)	4/192	1.579778e-02	1.388382e-01	0	0	4.368794e+00	1.812126e+01	PLP1;OLIG1;APOE;GPM6B
GO_Biological_Process_2023	Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)	2/39	1.626241e-02	1.389295e-01	0	0	1.095587e+01	4.512614e+01	HSP90AA1;CLU
GO_Biological_Process_2023	Positive Regulation Of Lipid Biosynthetic Process (GO:0046889)	2/39	1.626241e-02	1.389295e-01	0	0	1.095587e+01	4.512614e+01	APOE;SIRT2
GO_Biological_Process_2023	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	7/525	1.626418e-02	1.389295e-01	0	0	2.816332e+00	1.159988e+01	RPS15;DDR1;NTRK2;HSP90AA1;CD81;RPS3;RPS20
GO_Biological_Process_2023	Cyclic-Nucleotide-Mediated Signaling (GO:0019935)	2/40	1.706318e-02	1.444051e-01	0	0	1.066702e+01	4.342367e+01	APOE;NUDT4
GO_Biological_Process_2023	Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058)	2/42	1.871406e-02	1.569234e-01	0	0	1.013265e+01	4.031256e+01	RPL5;CLU
GO_Biological_Process_2023	Positive Regulation Of Cellular Component Organization (GO:0051130)	3/113	1.910748e-02	1.587658e-01	0	0	5.564199e+00	2.202129e+01	RPS3;APOE;CLU
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	5/310	1.975391e-02	1.626584e-01	0	0	3.381363e+00	1.326983e+01	DDR1;NTRK2;CD81;APOE;MT3
GO_Biological_Process_2023	Positive Regulation Of Biosynthetic Process (GO:0009891)	2/44	2.042948e-02	1.641594e-01	0	0	9.649174e+00	3.754278e+01	APOE;VIM
GO_Biological_Process_2023	Positive Regulation Of Chemotaxis (GO:0050921)	2/44	2.042948e-02	1.641594e-01	0	0	9.649174e+00	3.754278e+01	TMSB4X;RARRES2
GO_Biological_Process_2023	Cellular Response To Oxidative Stress (GO:0034599)	3/117	2.092896e-02	1.641594e-01	0	0	5.367878e+00	2.075555e+01	RPS3;MT3;SIRT2
GO_Biological_Process_2023	Positive Regulation Of Cell Projection Organization (GO:0031346)	3/118	2.139875e-02	1.641594e-01	0	0	5.320932e+00	2.045591e+01	DDR1;NTRK2;APOE
GO_Biological_Process_2023	Regulation Of Fibroblast Proliferation (GO:0048145)	2/46	2.220804e-02	1.641594e-01	0	0	9.209647e+00	3.506390e+01	FTH1;S100A6
GO_Biological_Process_2023	Response To Hydrogen Peroxide (GO:0042542)	2/46	2.220804e-02	1.641594e-01	0	0	9.209647e+00	3.506390e+01	RPS3;CLU
GO_Biological_Process_2023	Negative Regulation Of Cellular Metabolic Process (GO:0031324)	2/46	2.220804e-02	1.641594e-01	0	0	9.209647e+00	3.506390e+01	MT3;SIRT2
GO_Biological_Process_2023	Receptor-Mediated Endocytosis (GO:0006898)	3/122	2.333557e-02	1.641594e-01	0	0	5.141038e+00	1.931887e+01	CD81;CD9;APOE
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle (GO:0042749)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	PTGDS
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	PTGDS
GO_Biological_Process_2023	Regulation Of Establishment Of T Cell Polarity (GO:1903903)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	GSN
GO_Biological_Process_2023	L-phenylalanine Catabolic Process (GO:0006559)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	QDPR
GO_Biological_Process_2023	L-phenylalanine Metabolic Process (GO:0006558)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	QDPR
GO_Biological_Process_2023	Negative Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0097201)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	SIRT2
GO_Biological_Process_2023	Erythrose 4-Phosphate/Phosphoenolpyruvate Family Amino Acid Catabolic Process (GO:1902222)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	QDPR
GO_Biological_Process_2023	Subtelomeric Heterochromatin Formation (GO:0031509)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	SIRT2
GO_Biological_Process_2023	Tight Junction Organization (GO:0120193)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	CLDN11
GO_Biological_Process_2023	Glycolipid Transport (GO:0046836)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	PLTP
GO_Biological_Process_2023	Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	CD81
GO_Biological_Process_2023	Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	HSP90AA1
GO_Biological_Process_2023	Lipoprotein Metabolic Process (GO:0042157)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	APOE
GO_Biological_Process_2023	Protein Import (GO:0017038)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	CLU
GO_Biological_Process_2023	Pteridine-Containing Compound Metabolic Process (GO:0042558)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	QDPR
GO_Biological_Process_2023	Negative Regulation Of T Cell Differentiation In Thymus (GO:0033085)	1/5	2.475353e-02	1.641594e-01	0	0	5.024242e+01	1.858360e+02	FOXJ1
