,highly_variable
Mrpl37,False
Cyb5rl,False
Gm12802,False
Tceanc2,False
Tmem59,False
Lrrc42,False
Hspb11,False
Yipf1,False
Ndc1,False
Glis1,False
Dmrtb1,False
4933424M12Rik,True
Lrp8,False
Lrp8os2,False
Magoh,False
0610037L13Rik,False
Cpt2,False
Podn,False
Scp2,False
Echdc2,False
Zyg11b,False
Coa7,False
Fam159a,False
Gpx7,False
Zcchc11,False
Prpf38a,False
Orc1,False
Cc2d1b,False
Gm17354,False
Zfyve9,False
3110021N24Rik,False
Btf3l4,False
Txndc12,False
Kti12,False
Rab3b,True
Nrd1,False
Osbpl9,False
Calr4,False
Eps15,False
Ttc39a,False
Rnf11,False
Cdkn2c,False
Faf1,False
Dmrta2os,False
Dmrta2,True
Elavl4,False
Agbl4,False
Bend5,False
Spata6,False
Trabd2b,False
Foxd2,False
Cmpk1,False
Stil,True
Tal1,False
Pdzk1ip1,False
Cyp4x1,False
Cyp4x1os,False
Cyp4b1,False
Efcab14,True
Tex38,False
Atpaf1,False
Mob3c,False
Mknk1,False
Kncn,False
6430628N08Rik,False
Dmbx1,False
Faah,False
Nsun4,False
Uqcrh,False
Lrrc41,False
Rad54l,False
Pomgnt1,False
Lurap1,False
Tspan1,False
Pik3r3,False
Mast2,False
Ipp,False
Tmem69,False
Gpbp1l1,False
Ccdc17,False
Nasp,False
Akr1a1,False
Prdx1,False
Mmachc,False
Ccdc163,False
Tesk2,False
Toe1,False
Mutyh,False
Hpdl,False
Gm12996,False
Zswim5,False
Urod,False
Hectd3,False
Eif2b3,False
Ptch2,False
Btbd19,False
Tctex1d4,True
Plk3,False
Rps8,False
Kif2c,False
Armh1,False
Tmem53,False
Rnf220,False
Gm12843,False
Eri3,False
Dmap1,False
Gm12840,True
Slc6a9,True
Ccdc24,False
B4galt2,False
Atp6v0b,False
Dph2,False
Ipo13,False
Artn,False
St3gal3,False
Kdm4a,False
Ptprf,False
Szt2,False
Med8,False
Elovl1,True
Cdc20,False
Mpl,True
Tie1,False
Tmem125,True
Cfap57,False
Ebna1bp2,False
Lao1,False
Slc2a1,True
Zfp691,False
Ermap,False
Svbp,False
AU022252,False
Tmem269,False
P3h1,False
Gm12927,False
Cldn19,False
Ybx1,False
Ppih,False
Ccdc30,False
Ppcs,False
Zmynd12,False
Rimkla,False
Frg2f1,False
Foxj3,False
Guca2a,False
Hivep3,False
Edn2,False
Foxo6,False
Foxo6os,False
Scmh1,False
Ctps,False
Cited4,False
Kcnq4,False
Nfyc,False
Rims3,True
Exo5,False
Zfp69,False
Smap2,False
Col9a2,False
Zmpste24,False
Tmco2,False
Rlf,False
Ppt1,False
Cap1,False
Mfsd2a,False
Mycl,False
Trit1,False
Bmp8b,False
Ppie,False
Hpcal4,True
Heyl,False
Pabpc4,False
Macf1,False
Gm12925,False
Ndufs5,False
Akirin1,False
Rhbdl2,False
Gm26606,False
Mycbp,False
Rragc,False
3100002H09Rik,False
Pou3f1,True
Utp11,False
Fhl3,False
Sf3a3,False
Inpp5b,False
Mtf1,False
1110065P20Rik,False
Yrdc,False
Maneal,False
Epha10,False
Cdca8,False
9930104L06Rik,False
Rspo1,False
Gnl2,False
Dnali1,True
Snip1,False
Gm12932,False
Meaf6,False
Zc3h12a,False
Grik3,False
2610028E06Rik,False
Csf3r,False
Mrps15,False
Oscp1,False
Lsm10,False
Stk40,False
Eva1b,False
Sh3d21,False
Thrap3,False
Map7d1,False
Trappc3,False
Col8a2,True
Adprhl2,False
Tekt2,False
Ago3,False
Ago1,False
Ago4,False
Clspn,True
5730409E04Rik,False
Psmb2,False
Ncdn,False
AU040320,False
Zmym4,False
Sfpq,False
Zmym1,False
Zmym6,False
Tmem35b,False
Dlgap3,True
Smim12,False
Gja4,False
Gjb3,False
1700080G11Rik,False
CK137956,False
Csmd2,False
Zscan20,False
Tlr12,True
Phc2,False
Zfp362,False
Trim62,False
Azin2,False
Ak2,False
1700086P04Rik,False
Rnf19b,False
Hpca,True
Fndc5,True
S100pbp,False
Yars,False
C77080,False
Gm12976,False
Sync,False
Rbbp4,False
Gm26722,False
Zbtb8os,False
Zbtb8a,False
Zbtb8b,False
Bsdc1,False
Tssk3,False
Fam229a,False
Marcksl1,True
Hdac1,False
Lck,False
Fam167b,True
Eif3i,False
Tmem234,False
Dcdc2b,False
Iqcc,False
Ccdc28b,False
Txlna,False
Kpna6,False
Tmem39b,False
Khdrbs1,False
Ptp4a2,False
E330017L17Rik,False
Spocd1,True
1700003M07Rik,False
Adgrb2,False
Col16a1,False
Pef1,False
Hcrtr1,False
Tinagl1,False
Gm853,False
Serinc2,False
Gm10570,False
Fabp3,False
Zcchc17,False
Snrnp40,False
Nkain1,False
Pum1,False
Sdc3,False
Gm26716,False
Laptm5,True
Matn1,False
A930031H19Rik,False
Ptpru,False
Mecr,False
Srsf4,False
Epb41,False
Oprd1,False
Ythdf2,False
Gmeb1,False
Gm28874,True
Taf12,False
Rab42,False
Snhg12,False
Trnau1ap,False
Rcc1,False
Gm17300,False
Phactr4,True
Med18,False
Sesn2,False
Atpif1,False
Gm12999,False
Dnajc8,False
Ptafr,False
Eya3,False
Xkr8,False
Smpdl3b,False
Rpa2,False
Themis2,False
Ppp1r8,False
Stx12,False
Fam76a,False
Fgr,False
Ahdc1,False
Wasf2,False
Gpr3,False
Cd164l2,False
Map3k6,False
Sytl1,False
Tmem222,False
Wdtc1,False
Slc9a1,False
Fam46b,False
Trnp1,False
Kdf1,False
Nudc,False
Nr0b2,False
Gpatch3,False
Gpn2,False
Sfn,False
Zdhhc18,False
Pigv,False
Arid1a,False
Rps6ka1,False
Hmgn2,False
Dhdds,False
Crybg2,False
Cd52,True
Ubxn11,False
Sh3bgrl3,False
Cep85,False
Zfp593,False
E130218I03Rik,False
Gm30191,False
Grrp1,False
Pdik1l,False
Trim63,False
Extl1,False
Pafah2,False
1700021N21Rik,False
Stmn1,False
Paqr7,False
Aunip,False
Mtfr1l,False
Selenon,False
Man1c1,False
Ldlrap1,False
Tmem57,False
Rhd,False
Tmem50a,False
Rsrp1,False
Syf2,False
Clic4,True
Srrm1,False
Ncmap,False
Rcan3,False
Nipal3,False
Stpg1,True
Grhl3,False
Ifnlr1,False
Myom3,False
Srsf10,False
Pnrc2,False
Cnr2,False
Fuca1,False
Hmgcl,False
Gale,False
Lypla2,False
Pithd1,False
Eloa,False
Gm13008,False
Rpl11,False
Id3,True
E2f2,False
Asap3,False
Tcea3,False
Zfp46,False
Hnrnpr,False
Htr1d,False
6030445D17Rik,False
Luzp1,False
Kdm1a,False
Ephb2,False
C1qb,True
C1qc,True
C1qa,True
Epha8,False
Zbtb40,False
Gm13003,False
Wnt4,True
Cdc42,False
2810405F17Rik,False
Hspg2,False
Usp48,False
Rap1gap,False
Alpl,False
Ece1,False
Eif4g3,False
2310026L22Rik,False
Hp1bp3,False
Sh2d5,False
Kif17,False
Ddost,False
Pink1,False
Cda,False
Fam43b,False
AB041806,False
Mul1,False
Camk2n1,True
Vwa5b1,False
Ubxn10,False
Pla2g2c,False
Pla2g2f,False
Pla2g2d,False
Pla2g5,False
Otud3,False
Tmco4,False
Htr6,False
Nbl1,True
Minos1,False
Gm16287,False
Capzb,False
Pqlc2,False
Akr7a5,False
Mrto4,False
Emc1,False
Ubr4,False
2700016F22Rik,True
Iffo2,False
Aldh4a1,False
Pax7,False
4933427I22Rik,True
Klhdc7a,False
Igsf21,True
Gm13016,False
Arhgef10l,False
Gm13025,False
Rcc2,False
Padi6,False
Padi2,True
Gm13031,False
Sdhb,False
Atp13a2,False
Mfap2,False
Crocc,False
Necap2,True
Spata21,False
Szrd1,False
Fbxo42,False
Arhgef19,False
Gm13056,True
Epha2,True
Fam131c,False
Gm13075,False
Hspb7,False
Srarp,True
Zbtb17,False
Spen,False
Fblim1,False
Tmem82,False
Slc25a34,False
Plekhm2,False
Ddi2,False
Agmat,False
Dnajc16,False
Casp9,False
Efhd2,False
Gm29367,False
Fhad1,False
4930455G09Rik,False
Tmem51,False
Tmem51os1,True
Kazn,False
Prdm2,False
Pdpn,True
Lrrc38,False
Pramef8,False
Dhrs3,False
Vps13d,False
Tnfrsf1b,False
Tnfrsf8,False
Gm13212,True
Gm13166,True
Zfp992,False
Zfp991,False
Zfp988,False
Zfp982,False
Gm16503,True
Zfp979,False
Zfp984,False
Gm20707,False
Zfp933,False
Miip,False
Fv1,False
Mfn2,False
Plod1,True
2510039O18Rik,False
Nppb,False
Nppa,False
Gm13054,False
Clcn6,False
Mthfr,False
Agtrap,False
Draxin,False
Mad2l2,False
Fbxo6,False
Fbxo44,False
Fbxo2,False
Disp3,False
Ubiad1,False
Mtor,False
Angptl7,False
Exosc10,False
Srm,False
Masp2,False
Tardbp,False
Casz1,False
Gm13205,False
Pex14,False
Dffa,False
Cort,True
Cenps,False
Pgd,False
Kif1b,False
Ube4b,False
Rbp7,False
Nmnat1,False
Lzic,False
Ctnnbip1,False
Gm13066,False
Clstn1,False
Pik3cd,False
Tmem201,False
Slc25a33,False
Spsb1,False
H6pd,False
Gpr157,False
Gm13093,False
Slc2a5,False
Eno1,False
Rere,False
Slc45a1,False
Errfi1,False
Park7,False
Tnfrsf9,False
Camta1,False
Per3,False
Vamp3,True
Dnajc11,False
Thap3,False
Phf13,False
Klhl21,False
Zbtb48,False
Tas1r1,False
Nol9,False
Plekhg5,False
Tnfrsf25,False
Espn,False
Acot7,False
Gpr153,False
Hes3,False
Icmt,False
Rnf207,False
Rpl22,False
Chd5,False
Kcnab2,True
Nphp4,False
Ajap1,False
BC039966,False
A430005L14Rik,False
Dffb,False
Cep104,False
Lrrc47,False
Smim1,True
Trp73,False
Wrap73,False
Tprgl,False
Megf6,False
Arhgef16,False
Prdm16,False
B230104I21Rik,False
Gm13133,True
Gm13111,False
Ttc34,False
Gm13112,False
Mmel1,False
Fam213b,False
Hes5,True
Pank4,False
Plch2,False
Gm10564,False
Pex10,False
Rer1,False
Morn1,False
Ski,False
Faap20,False
Prkcz,False
Gabrd,True
Cfap74,False
Tmem52,True
Gnb1,False
Nadk,False
Slc35e2,False
Cdk11b,False
Mmp23,False
Mib2,False
Fndc10,False
Ssu72,False
1500002C15Rik,False
Tmem240,False
Atad3a,False
Atad3aos,False
Vwa1,True
Gm26840,False
Tmem88b,True
Mrpl20,False
Ccnl2,False
Aurkaip1,False
Mxra8,False
Dvl1,False
Tas1r3,True
Cptp,False
Ints11,False
Pusl1,False
Acap3,False
Ube2j2,False
C1qtnf12,False
B3galt6,False
Sdf4,False
Tnfrsf4,False
Gm16008,False
Ttll10,False
9430015G10Rik,False
Rnf223,False
Agrn,False
Isg15,True
AW011738,False
Perm1,False
Plekhn1,False
Noc2l,False
Samd11,False
Cdk6,False
Fam133b,False
1700109H08Rik,False
Rbm48,False
2510017J16Rik,False
Pex1,False
4833413G10Rik,False
Gatad1,False
Ankib1,False
Krit1,False
Lrrd1,False
Mterf1a,False
Akap9,False
Cyp51,False
Mterf1b,False
Fzd1,False
Cdk14,False
1700015F17Rik,False
Cldn12,False
Gtpbp10,False
Gm8773,False
Cfap69,False
Steap2,False
Steap1,True
Gm26825,False
Zfp804b,False
Steap4,False
Sri,False
Adam22,False
Dbf4,False
Slc25a40,False
Rundc3b,False
Abcb1a,True
Abcb1b,False
Abcb4,False
Crot,False
Tmem243,False
Dmtf1,False
9330182L06Rik,False
Grm3,False
Sema3d,False
Sema3a,False
Sema3e,True
Pclo,False
Gm21149,False
Gm3510,False
Cacna2d1,False
Hgf,False
Sema3c,False
Cd36,False
Gnai1,False
4921504A21Rik,False
Magi2,False
Phtf2,False
Tmem60,False
Rsbn1l,False
A630072M18Rik,False
Ptpn12,False
Gsap,False
Ccdc146,False
Fgl2,False
Fam185a,False
Fbxl13,False
Lrrc17,False
Armc10,False
Napepld,False
Pmpcb,False
Dnajc2,False
Psmc2,False
Reln,True
Orc5,False
6030443J06Rik,False
A930003O13Rik,False
Lhfpl3,True
5031425E22Rik,False
Kmt2e,False
Srpk2,False
Pus7,False
Rint1,False
Tomm7,False
2700038G22Rik,False
Fam126a,False
Klhl7,False
Nupl2,False
Kcnh2,False
Nos3,False
Gm15587,False
Atg9b,False
Abcb8,False
Asic3,False
Cdk5,False
Slc4a2,True
Fastk,False
Tmub1,False
2310074N15Rik,False
Agap3,False
Gbx1,False
Asb10,True
Abcf2,False
Chpf2,False
Smarcd3,False
Nub1,False
Gm26648,False
Wdr86,True
Crygn,False
Rheb,False
Prkag2,False
1500035N22Rik,False
Galnt11,False
Kmt2c,False
4831440E17Rik,True
1700096K18Rik,False
Xrcc2,False
Actr3b,False
Speer4a,False
Gm7361,False
Dpp6,False
Speer4b,False
Gm16058,False
Paxip1,False
Htr5a,False
Insig1,False
En2,True
Rbm33,False
Shh,False
9530036O11Rik,False
Gm26894,False
Rnf32,False
Lmbr1,False
4632411P08Rik,False
Nom1,False
Ube3c,False
Dnajb6,False
Tyms,False
3110082J24Rik,False
Garem2,False
Hadha,False
Hadhb,False
Selenoi,False
Drc1,False
Otof,False
1700001C02Rik,True
Kcnk3,False
Slc35f6,False
Cenpa,False
Dpysl5,False
Mapre3,False
Tmem214,False
Agbl5,False
Ost4,False
Emilin1,True
Khk,False
Cgref1,False
Preb,False
Tcf23,False
Slc5a6,False
Atraid,False
Cad,False
Slc30a3,True
Trim54,True
Ucn,False
Mpv17,False
Gm29609,True
Gtf3c2,False
Eif2b4,False
Snx17,False
Zfp513,False
Ppm1g,False
Nrbp1,False
Krtcap3,False
Ift172,False
Fndc4,False
Gckr,False
Zfp512,False
Gpn1,False
Supt7l,False
Slc4a1ap,False
AI839979,False
Mrpl33,False
Rbks,False
Babam2,False
Fosl2,False
Plb1,False
Ppp1cb,False
Yes1,False
Pisd,False
Prr14l,False
Depdc5,False
Ywhah,False
Slc5a1,False
Spon2,False
Ctbp1,False
Maea,False
Uvssa,False
Fam53a,False
Gm9903,False
Slbp,False
Tmem129,False
Tacc3,False
Fgfr3,False
Letm1,False
Nsd2,False
Nelfa,False
Gm42851,False
Gm1673,False
Nat8l,False
Poln,False
Haus3,False
Mxd4,False
Gm42846,False
Zfyve28,False
Cfap99,False
Rnf4,False
Fam193a,False
Tnip2,False
Sh3bp2,False
Add1,False
Mfsd10,False
Nop14,False
Grk4,False
Htt,False
Msantd1,False
Rgs12,True
Hgfac,False
Dok7,False
Lrpap1,False
Adra2c,False
Cpz,False
Trmt44,False
Acox3,False
Htra3,False
Sh3tc1,False
Ablim2,False
Afap1,False
Sorcs2,False
2210406O10Rik,False
Grpel1,False
Tada2b,False
Ccdc96,False
Tbc1d14,False
D5Ertd579e,False
Bloc1s4,False
Mrfap1,False
Man2b2,False
Ppp2r2c,False
Wfs1,True
Jakmip1,False
Crmp1,False
Evc,False
Evc2,False
Stk32b,False
Cytl1,True
Msx1,True
Stx18,False
Nsg1,False
Zbtb49,False
Lyar,False
Tmem128,False
Drd5,False
Slc2a9,False
Wdr1,False
Zfp518b,False
Hs3st1,False
Rab28,False
Bod1l,False
Gm7854,False
Cpeb2,False
C1qtnf7,True
Cc2d2a,False
Fbxl5,False
Gm42555,False
Bst1,False
Cd38,True
Gm7879,False
Fgfbp1,True
Prom1,True
Tapt1,False
Gm42984,False
Ldb2,False
Qdpr,True
Gm42413,False
Lap3,True
Med28,False
Fam184b,False
9630001P10Rik,False
Ncapg,False
Lcorl,False
Slit2,False
5730480H06Rik,False
Kcnip4,False
Adgra3,False
Ppargc1a,False
Dhx15,False
Sod3,True
Ccdc149,False
Lgi2,False
8030423F21Rik,False
Sepsecs,False
Pi4k2b,True
Zcchc4,False
Anapc4,False
Sel1l3,False
Smim20,False
Gm45495,False
Rbpj,False
Cckar,False
Tbc1d19,False
Stim2,False
Pcdh7,False
Arap2,False
Nwd2,True
0610040J01Rik,False
Rell1,True
Pgm1,False
Tbc1d1,False
C030018K13Rik,False
Gm3716,False
Klf3,False
Tlr1,False
Tlr6,False
Fam114a1,False
Tmem156,False
Klhl5,False
Wdr19,False
Rfc1,False
Klb,False
Rpl9,False
Lias,False
Ugdh,False
Smim14,False
Ube2k,False
Pds5a,False
N4bp2,False
Rhoh,False
Rbm47,True
Gm26725,False
Nsun7,False
Apbb2,False
Uchl1os,False
Uchl1,False
Limch1,False
Gm42670,False
Tmem33,False
Slc30a9,False
Bend4,False
Gm26756,False
Shisa3,True
Atp8a1,False
Gm15478,False
Gm15477,False
Grxcr1,False
Kctd8,False
Guf1,False
Gnpda2,False
Gabrg1,False
Gabra2,True
Cox7b2,False
Gabra4,True
Gabrb1,False
Gm38562,False
Commd8,False
Corin,False
Nfxl1,False
Zar1,False
Gm5868,True
Txk,False
Tec,False
Slain2,False
Slc10a4,False
Fryl,True
Ociad1,False
Ociad2,False
Cwh43,False
Dcun1d4,False
Sgcb,False
Spata18,False
Usp46,False
Rasl11b,True
Scfd2,False
Fip1l1,False
Lnx1,False
Chic2,False
Gsx2,False
Pdgfra,True
Kit,False
Gm19590,False
Kdr,True
Srd5a3,False
Tmem165,False
Clock,False
Gm7467,False
Nmu,False
Exoc1,False
Cep135,False
C530008M17Rik,False
Aasdh,False
Ppat,False
2310040G07Rik,False
Paics,False
Srp72,False
Hopx,True
Hopxos,False
Spink2,False
Rest,True
Noa1,False
Polr2b,False
Igfbp7,True
Adgrl3,False
Gm16054,False
Tecrl,False
Epha5,False
Gm43532,False
Cenpc1,False
Stap1,False
Uba6,False
Tmprss11a,False
Ythdc1,False
Jchain,True
Utp3,False
Rufy3,False
Grsf1,False
Mob1b,False
Dck,False
Slc4a4,True
Adamts3,False
Cox18,False
Ankrd17,False
Gm9958,False
Afp,False
Rassf6,False
Cxcl5,True
Ppbp,True
Pf4,True
Cxcl1,False
Mthfd2l,False
Areg,False
Gm19619,False
Btc,False
Parm1,False
Gm43688,False
Rchy1,False
Cdkl2,False
Gm26582,False
G3bp2,False
Uso1,False
Ppef2,False
Naaa,True
Sdad1,False
Art3,False
Cxcl10,True
Nup54,False
Scarb2,False
Fam47e,False
Stbd1,False
Ccdc158,False
Shroom3,False
Sowahb,False
Sept11,False
Ccni,False
2010109A12Rik,False
Ccng2,False
Cnot6l,False
Mrpl1,False
Fras1,False
Gm33050,False
Anxa3,True
Gm33370,False
Gm8013,False
Gm9484,False
Bmp2k,True
Paqr3,False
Gm33609,False
Antxr2,False
Prdm8,True
A730035I17Rik,False
Fgf5,False
1700007G11Rik,False
Bmp3,False
Prkg2,False
Rasgef1b,False
Gm35394,False
Gm38413,False
Gm35911,False
Hnrnpd,False
Gm17092,False
4930524J08Rik,False
Hnrnpdl,False
Enoph1,False
Tmem150c,False
Tmem150cos,True
2310034O05Rik,False
Sec31a,False
5430416N02Rik,False
Lin54,False
Cops4,False
Plac8,True
Coq2,False
Hpse,True
Helq,False
Mrps18c,False
Abraxas1,False
4930458D05Rik,False
Gpat3,False
Nkx6-1,True
9430085M18Rik,False
Cds1,False
Wdfy3,False
Gm29707,False
Arhgap24,False
Mapk10,False
5430427N15Rik,True
Ptpn13,False
Aff1,False
Klhl8,False
Hsd17b13,False
Hsd17b11,False
Nudt9,False
Gm17660,False
Sparcl1,False
Gm26703,False
Dmp1,False
Ibsp,True
Spp1,True
Pkd2,False
BC005561,True
D930016D06Rik,False
Zfp951,False
Abcg3,False
Gbp8,False
Gbp9,False
Gbp4,True
Gbp6,False
Gm26519,False
Gm32051,True
Lrrc8b,False
Lrrc8c,False
Lrrc8d,False
Lrrc8dos,False
Zfp326,False
Barhl2,False
Gm28050,False
Zfp644,False
Hfm1,False
Cdc7,False
Tgfbr3,True
Brdt,False
Gm42902,False
Ephx4,True
A830010M20Rik,False
Gm42669,False
1700028K03Rik,False
Glmn,False
Rpap2,False
A930041C12Rik,False
Evi5,False
Rpl5,False
Fam69a,False
Mtf2,False
Tmed5,False
Ccdc18,True
Dr1,False
Pigg,False
9330198I05Rik,False
Gm42518,False
Gm42517,False
Gm10419,False
Atp5k,False
Mfsd7a,False
Pcgf3,False
Cplx1,True
Gak,False
Tmem175,False
Dgkq,False
Idua,False
Slc26a1,False
Fgfrl1,True
Crlf2,False
5430403G16Rik,False
4930522L14Rik,False
Gm26808,False
Gm15446,False
Zfp932,False
Gm17655,False
Gm35315,False
Plcxd1,False
Gtpbp6,False
Zfp605,False
Chfr,False
Gm43136,True
Golga3,False
Gm43137,False
Ankle2,False
Pgam5,False
Gm26718,False
Pxmp2,False
Pole,True
P2rx2,False
Fbrsl1,False
Gm26711,True
Gm42596,False
A630023P12Rik,False
Galnt9,False
Noc4l,False
Ddx51,False
Gm42595,False
Ep400,False
Gm15559,False
Pus1,False
Gm26515,False
Ulk1,False
Hscb,False
Chek2,False
Ttc28,True
Pitpnb,False
Gm43118,False
Mn1,False
C130026L21Rik,False
Gm42489,False
E130006D01Rik,False
Gm42488,False
Miat,False
Gm26953,False
Cryba4,True
Crybb1,False
Tpst2,False
Tfip11,False
Srrd,False
Hps4,False
Gm20636,False
Asphd2,False
Sez6l,False
Gm27004,False
Gm42864,False
Gm42865,False
Myo18b,False
Grk3,False
Crybb3,False
2900026A02Rik,False
Sgsm1,False
Wscd2,False
Cmklr1,False
Ficd,False
Sart3,False
Iscu,False
Tmem119,True
Selplg,True
Coro1c,False
Gm17122,False
Ssh1,False
Dao,False
Svop,False
Usp30,False
Alkbh2,False
Ung,False
Acacb,False
Myo1h,False
Kctd10,False
Ube3b,False
Mmab,False
Mvk,False
Fam222a,False
Trpv4,True
Gltp,True
Tchp,False
Git2,False
4930515G01Rik,False
Ankrd13a,False
1500011B03Rik,False
2610524H06Rik,False
Gm9936,False
Oasl2,False
Oasl1,False
2210016L21Rik,False
Sppl3,False
Gm10401,False
Acads,False
Unc119b,False
Mlec,False
Cabp1,True
Pop5,False
Rnf10,False
Coq5,False
Dynll1,False
Gm13830,False
Srsf9,False
Gatc,False
Triap1,False
Cox6a1,False
Msi1,False
Sirt4,False
Pxn,False
Rplp0,False
Gcn1l1,False
1110006O24Rik,False
Rab35,False
Bicdl1,False
Cit,True
Prkab1,False
C330018A13Rik,False
Ccdc60,False
B230112J18Rik,False
Hspb8,True
Srrm4,False
Suds3,False
Taok3,False
Pebp1,False
BC051077,False
Gm10399,False
Vsig10,False
Wsb2,False
Rfc5,False
Gm15728,False
Ksr2,False
Nos1,True
Fbxo21,False
Tesc,True
Fbxw8,False
Gm9754,False
Hrk,True
Rnft2,False
2410131K14Rik,False
Med13l,False
Tbx3os1,False
Tbx3,False
Tbx3os2,True
Rbm19,False
Gm42654,False
Gm27199,False
Lhx5,False
Sdsl,False
Sds,False
Gm15690,False
Plbd2,False
Slc8b1,False
Tpcn1,False
Iqcd,False
Rita1,False
Ddx54,False
Gm43579,False
Rasal1,True
Dtx1,False
Oas2,True
Oas3,False
Oas1c,False
Oas1g,True
Oas1a,False
Rph3a,False
Ptpn11,False
Rpl6,False
Hectd4,False
Trafd1,False
Gm42918,False
Naa25,False
Erp29,False
Tmem116,False
Adam1a,False
Mapkapk5,False
Aldh2,False
Acad12,False
Acad10,False
Brap,False
Atxn2,False
Sh2b3,False
Fam109a,False
Cux2,True
Myl2,False
Ccdc63,False
Ppp1cc,False
Hvcn1,False
Tctn1,False
Pptc7,False
Rad9b,False
Vps29,False
Fam216a,False
Gpn3,False
Arpc3,False
Anapc7,False
Atp2a2,False
Ift81,False
P2rx7,False
P2rx4,False
Camkk2,True
Anapc5,False
Rnf34,False
Kdm2b,False
A930024E05Rik,False
Orai1,False
Morn3,False
Tmem120b,False
Rhof,False
AI480526,False
4932422M17Rik,False
Setd1b,False
Psmd9,False
Gm43409,False
Wdr66,False
Gm15860,False
Bcl7a,False
Gm15747,True
Mlxip,False
Lrrc43,False
Diablo,False
B3gnt4,False
Vps33a,False
Clip1,False
Zcchc8,False
Rsrc2,False
Kntc1,False
Hcar1,True
Denr,False
Ccdc62,False
Hip1r,False
Vps37b,False
Abcb9,False
Ogfod2,False
Arl6ip4,False
Pitpnm2,False
Mphosph9,False
2810006K23Rik,False
Cdk2ap1,False
Sbno1,False
Kmt5a,False
Rilpl2,False
Snrnp35,False
Rilpl1,False
Tmed2,False
Ddx55,False
Eif2b1,False
Gtf2h3,False
Atp6v0a2,False
4930404A12Rik,False
Dnah10,False
Ccdc92,False
Zfp664,False
Rflna,False
Ncor2,False
Gm32585,False
Scarb1,False
Ubc,False
Gm10382,False
Dhx37,False
Bri3bp,False
Aacs,False
Tmem132b,False
1700048F04Rik,False
Tmem132c,False
Slc15a4,False
Glt1d1,False
Tmem132d,False
Gm42500,False
5930412G12Rik,False
Fzd10,False
Piwil1,False
Rimbp2,False
Stx2,False
Ran,False
Adgrd1,False
Sfswap,False
Mmp17,True
Zfp11,False
Mrps17,False
Nipsnap2,False
Psph,False
Sumf2,False
Phkg1,True
Chchd2,False
Zbed5,False
Nupr1l,False
Vkorc1l1,False
Gusb,False
Asl,False
Crcp,False
Tpst1,False
Kctd7,False
Rabgef1,False
Tmem248,False
Gm6598,False
Sbds,False
Tyw1,False
Caln1,False
A330070K13Rik,False
Galnt17,False
Auts2,False
Gm15627,False
Gatsl2,False
Rcc1l,False
Gtf2ird2,False
Ncf1,False
Gtf2i,False
Gtf2ird1,False
Clip2,False
Rfc2,False
Lat2,False
Eif4h,False
Limk1,False
Gm10369,False
Eln,True
Gm30003,False
Mettl27,False
Cldn3,False
Wbscr25,False
Abhd11,False
Stx1a,True
Bud23,False
Dnajc30,False
Vps37d,False
Mlxipl,False
Tbl2,False
Bcl7b,False
Baz1b,False
Fzd9,False
Fkbp6,True
Nsun5,False
Pom121,False
Hip1,False
Ccl24,False
Rhbdd2,False
Por,False
Tmem120a,False
Styxl1,False
Mdh2,False
Srrm3,False
Hspb1,True
Ywhag,False
Ssc4d,False
Zp3,False
Dtx2,False
Upk3bl,False
Rasa4,False
Polr2j,False
Lrwd1,False
Alkbh4,False
Orai2,False
Prkrip1,False
Sh2b2,False
Cux1,False
Col26a1,False
Ift22,False
4933404O12Rik,False
Fis1,False
Cldn15,False
Znhit1,False
Plod3,False
Vgf,True
Ap1s1,False
Serpine1,False
Trim56,False
Muc3a,False
Ache,True
Ufsp1,False
Srrt,False
Trip6,False
Slc12a9,False
Ephb4,False
Zan,False
Pop7,False
9130604C24Rik,False
Gigyf1,False
Gnb2,False
Actl6b,False
Tfr2,False
Mospd3,False
Pcolce,True
Fbxo24,False
Gm36266,False
Lrch4,False
Gm20605,False
Sap25,False
Irs3,False
Agfg2,False
Nyap1,False
Tsc22d4,True
Ppp1r35,False
Mepce,False
Zcwpw1,False
Pilra,False
Cyp3a13,False
Gjc3,True
Zkscan1,False
Zscan21,False
Zfp113,False
Cops6,False
Mcm7,False
Ap4m1,False
Taf6,False
Cnpy4,False
Mblac1,False
Lamtor4,False
BC037034,False
6330418K02Rik,False
Gal3st4,True
Stag3,False
Gm10874,False
Zfp157,False
Zfp68,False
A430033K04Rik,False
Fam20c,False
Pdgfa,False
6330403L08Rik,False
Prkar1b,False
Dnaaf5,False
Sun1,False
Get4,False
Adap1,False
Cox19,False
3110082I17Rik,False
Gpr146,False
C130050O18Rik,False
Gper1,True
Zfand2a,False
4930500L23Rik,True
Uncx,False
Micall2,False
Ints1,False
Mafk,False
Tmem184a,False
Psmg3,False
Elfn1,False
Mad1l1,False
Nudt1,False
Mrm2,False
Snx8,False
Eif3b,False
Chst12,False
Grifin,False
Gm43703,False
Lfng,False
Ttyh3,False
Iqce,False
Brat1,False
Amz1,False
Gna12,True
Card11,False
Sdk1,False
Foxk1,False
Ap5z1,False
Radil,False
Papolb,False
Mmd2,False
Wipi2,False
Slc29a4,True
Tnrc18,False
Fbxl18,False
Actb,False
Fscn1,False
Rnf216,False
Rbak,False
Zfp12,False
Zfp316,False
BC030343,False
Zfp853,False
E130309D02Rik,False
