,highly_variable
Gm816,True
Epha4,False
Gm28386,False
Pax3,False
Sgpp2,False
Farsb,False
BC035947,False
Mogat1,False
Acsl3,False
Utp14b,False
Kcne4,False
Scg2,True
Ap1s3,False
Wdfy1,False
Mrpl44,False
Serpine2,False
Cul3,False
Dock10,True
Nyap2,False
Irs1,False
Gm9747,False
Rhbdd1,False
Col4a4,False
Col4a3,False
Mff,False
Agfg1,False
A030005L19Rik,False
Slc19a3,False
Daw1,False
Sphkap,False
Pid1,False
Dner,False
Trip12,False
Fbxo36,False
Slc16a14,False
Sp110,False
Sp140,False
Sp100,False
A630001G21Rik,False
Cab39,False
Itm2c,False
4933407L21Rik,False
Gm28884,False
Spata3,True
2810459M11Rik,True
Psmd1,False
Gm21972,False
Armc9,False
B3gnt7,False
Gm28626,False
Ncl,False
Ptma,False
Pde6d,False
Cops7b,False
Nppc,False
Dis3l2,False
Gm29374,False
Ecel1,True
Prss56,False
Eif4e2,False
Efhd1,True
Gigyf2,False
Kcnj13,True
3110079O15Rik,False
Ngef,True
Neu2,False
Inpp5d,False
Atg16l1,False
Sag,False
Dgkd,False
Usp40,False
Dnajb3,False
Mroh2a,False
Hjurp,False
Spp2,False
Gm29538,False
Glrp1,True
Gm29336,True
Arl4c,False
Sh3bp4,False
Agap1,False
Gbx2,True
Asb18,False
Iqca,False
Ackr3,False
Gm28723,True
Cops8,False
Col6a3,True
Mlph,False
Lrrfip1,False
Ramp1,False
Ube2f,False
Gm26683,False
Scly,False
Espnl,False
Klhl30,False
Erfe,False
Ilkap,False
Hes6,False
Per2,False
Traf3ip1,False
Asb1,False
Gm29100,False
Twist2,False
Hdac4,False
Ndufa10,False
Cops9,False
Otos,False
Gm29483,False
Gpc1,False
Gm29480,False
Ankmy1,False
Dusp28,False
5033417F24Rik,False
Rnpepl1,False
9430060I03Rik,False
Capn10,False
Gpr35,False
Kif1a,False
2310007B03Rik,False
Crocc2,False
Sned1,True
Mterf4,False
Gm28535,False
Pask,False
Ppp1r7,False
Ano7,False
Hdlbp,False
Sept2,False
Farp2,False
Stk25,False
Bok,True
Thap4,False
Atg4b,False
Dtymk,False
Ing5,False
D2hgdh,False
Neu4,True
Pdcd1,False
Fam174a,False
St8sia4,False
Slco4c1,False
Panct2,False
D1Ertd622e,False
Ppip5k2,False
Gin1,False
Pam,False
Gm7967,False
Cntnap5b,False
Cdh20,False
Rnf152,False
Gm17634,False
Pign,False
2310035C23Rik,False
Tnfrsf11a,False
Gm7160,False
Zcchc2,False
Phlpp1,False
Bcl2,False
Kdsr,False
Vps4b,False
Serpinb7,False
Serpinb2,False
Serpinb8,False
Cdh7,False
Cdh19,True
Gm29088,False
Dsel,False
9330185C12Rik,False
Cntnap5a,False
Tsn,False
Nifk,False
Clasp1,False
2900060B14Rik,True
Tfcp2l1,True
Gli2,False
Gm26831,True
Gm29455,False
Inhbb,False
Ralb,False
Gm27184,False
Tmem185b,False
Epb41l5,False
Ptpn4,True
Tmem177,False
Cfap221,False
Sctr,True
Tmem37,False
Dbi,True
3110009E18Rik,False
Steap3,False
C1ql2,True
Celrr,True
Insig2,False
Ccdc93,False
Htr5b,False
Ddx18,False
Dpp10,False
Gm28928,False
Actr3,False
Slc35f5,False
Gpr39,False
Lypd1,True
Nckap5,False
Mgat5,False
Tmem163,True
2900009J06Rik,False
Ccnt2,False
Map3k19,False
Rab3gap1,False
Zranb3,False
Gm28800,False
R3hdm1,False
Ubxn4,False
Lct,True
Mcm6,False
Dars,False
Cxcr4,False
Thsd7b,False
Gm15675,False
Cd55,False
Gm16083,False
C4bp,False
Gm29427,False
Pfkfb2,False
Yod1,False
AA986860,False
Fcmr,False
Mapkapk2,False
Dyrk3,False
Eif2d,False
Rassf5,False
Ikbke,False
Gm28913,False
Srgap2,False
Fam72a,False
Ctse,False
Rab7b,True
Pm20d1,True
Slc41a1,False
Rab29,False
Nucks1,False
Slc45a3,True
Elk4,True
Mfsd4a,False
Gm26892,False
Cdk18,True
Gm29629,False
Lemd1,False
Klhdc8a,False
Nuak2,False
Tmcc2,False
Dstyk,False
Rbbp5,False
Tmem81,False
Cntn2,True
Nfasc,True
Lrrn2,False
Mdm4,False
Pik3c2b,False
Ppp1r15b,False
Plekha6,False
Gm19461,False
Golt1a,False
Ren1,False
Etnk2,False
Sox13,False
Snrpe,False
Gm26706,False
Zc3h11a,False
Gm38394,False
Atp2b4,True
Optc,False
Prelp,True
Fmod,True
Btg2,False
Chit1,False
Chil1,False
Mybph,False
Adora1,False
Ppfia4,False
Tmem183a,False
Cyb5r1,False
Adipor1,False
Klhl12,False
Rabif,False
Kdm5b,False
Syt2,True
Ppp1r12b,False
Ube2t,False
Lgr6,False
Ptpn7,True
Arl8a,False
Gpr37l1,False
Rnpep,False
Timm17a,False
Lmod1,True
Shisa4,False
Ipo9,False
Nav1,False
Gm4793,False
Csrp1,True
Phlda3,True
Tnni1,True
Lad1,False
Tnnt2,False
Pkp1,False
Igfn1,False
Tmem9,False
Cacna1s,False
Kif21b,False
Mroh3,True
5730559C18Rik,False
Camsap2,False
Ddx59,False
Kif14,False
Platr23,False
Zfp281,False
Gm19705,False
Nr5a2,False
A430106G13Rik,False
Ptprc,False
Nek7,True
Lhx9,True
2310009B15Rik,False
Dennd1b,False
Crb1,False
Zbtb41,False
Aspm,False
Cfh,True
Kcnt2,False
Cdc73,False
B3galt2,False
Glrx2,False
Trove2,False
Uchl5,False
Rgs2,False
Rgs13,False
Rgs1,False
Rgs18,False
Gm29514,False
Brinp3,False
Pla2g4a,False
Ptgs2,False
BC003331,False
Tpr,False
Prg4,True
Hmcn1,False
Gm10138,False
Ivns1abp,False
Swt1,False
Trmt1l,False
Rnf2,False
Fam129a,False
2810414N06Rik,False
Edem3,False
1700025G04Rik,False
Tsen15,False
Colgalt2,False
Rgl1,False
Arpc5,False
Ncf2,False
Smg7,False
Nmnat2,False
Lamc2,False
Lamc1,True
Shcbp1l,False
Dhx9,False
Npl,False
Rgs8,True
Rgs16,True
Rnasel,False
Rgsl1,False
Teddm2,False
Glul,True
Gm29291,True
A830008E24Rik,True
Cacna1e,False
Ier5,True
Mr1,False
Stx6,False
BC034090,False
Xpr1,False
Gm5532,False
Acbd6,False
Qsox1,False
Cep350,False
Tor1aip1,False
Tor1aip2,False
Fam163a,False
Tdrd5,False
4930518J20Rik,False
Nphs2,False
Axdnd1,True
Gm2000,False
Soat1,False
Gm10031,False
Abl2,False
Tor3a,False
Fam20b,False
Ralgps2,False
Angptl1,False
Gm28694,False
Rasal2,False
Cryzl2,False
Sec16b,False
Brinp2,False
Astn1,False
Gm37679,False
Pappa2,True
Cop1,False
Tnr,False
Gm38039,False
4930523C07Rik,False
4930562F07Rik,False
Mrps14,False
Cacybp,False
Rabgap1l,False
Gm37083,False
Rc3h1,False
Serpinc1,True
Zbtb37,False
Dars2,False
Cenpl,False
Klhl20,False
Ankrd45,False
Prdx6,False
Fasl,False
Suco,False
4930558K02Rik,False
Pigc,False
Dnm3,False
Dnm3os,False
Mettl13,False
Vamp4,False
Myoc,True
Prrc2c,False
Fmo1,True
Fmo2,False
Prrx1,False
Gorab,False
Mettl11b,False
Kifap3,False
Scyl3,False
BC055324,False
Mettl18,False
Sell,True
Gm16548,False
F5,True
Slc19a2,False
Ccdc181,False
Blzf1,False
Nme7,True
Atp1b1,False
Dpt,False
4930568G15Rik,False
Tbx19,False
Sft2d2,True
Tiprl,False
Gpr161,True
Dcaf6,False
Mpc2,False
Adcy10,False
Gm38325,False
Mpzl1,True
Rcsd1,False
Creg1,False
Cd247,False
Pou2f1,False
Dusp27,True
Mael,False
Ildr2,False
Gm15853,False
Tada1,False
Pogk,False
Gm16701,False
Gm16701-1,False
Fam78b,False
Uck2,False
Gm2453,False
Tmco1,False
Aldh9a1,False
Mgst3,False
Rxrg,False
Lmx1a,False
Gm20711,False
Pbx1,False
Nuf2,False
Rgs5,True
Rgs4,True
Ccdc190,True
Hsd17b7,False
3110045C21Rik,False
Ddr2,True
Uap1,False
Gm37748,True
Uhmk1,False
4930500M09Rik,True
Sh2d1b1,False
Gm7694,False
Nos1ap,False
Olfml2b,True
Atf6,False
Dusp12,False
Gm26620,False
Fcgr2b,False
Fcgr4,False
Fcgr3,True
Cfap126,True
Sdhc,False
Pcp4l1,True
Nr1i3,False
Tomm40l,False
Apoa2,False
Fcer1g,False
Ndufs2,False
Adamts4,True
B4galt3,False
Ppox,False
Usp21,False
Ufc1,False
Gm20045,False
Dedd,False
Nit1,False
Pfdn2,False
Klhdc9,False
Nectin4,False
Arhgap30,True
Usf1,False
Tstd1,False
Gm26641,False
F11r,False
B930036N10Rik,False
Alyref2,False
Ly9,False
Cd48,True
Slamf1,False
Cd84,False
Gm37065,False
Slamf6,False
