,total_counts,n_genes_by_counts,pct_counts_mt
count,2688.0,2688.0,2688.0
mean,6690.86328125,5733.603794642857,0.969446063041687
std,851.6199340820312,1459.5011407478169,0.18471236526966095
min,3031.893310546875,1461.0,0.5537915825843811
25%,6186.069091796875,4749.5,0.8485006392002106
50%,6838.481689453125,5805.0,0.9232328534126282
75%,7308.4615478515625,6754.0,1.038620412349701
max,8852.8134765625,10683.0,2.2096848487854004
