Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Signal Release From Synapse (GO:0099643)	7/38	7.015931e-10	6.903676e-07	0	0	4.824246e+01	1.016838e+03	SNAP25;RAB3A;SYT1;STXBP1;SYN1;VAMP2;SNCA
GO_Biological_Process_2023	Neurotransmitter Secretion (GO:0007269)	7/43	1.755318e-09	8.636165e-07	0	0	4.153166e+01	8.373039e+02	SNAP25;RAB3A;SYT1;STXBP1;SYN1;VAMP2;SNCA
GO_Biological_Process_2023	Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)	5/16	1.180971e-08	3.873585e-06	0	0	9.516268e+01	1.737132e+03	COX8A;NDUFA4;COX4I1;COX6A1;COX6C
GO_Biological_Process_2023	Synaptic Vesicle Recycling (GO:0036465)	6/44	8.125996e-08	1.998995e-05	0	0	3.336282e+01	5.446685e+02	RAB3A;SYT1;AP2M1;DNM1;VAMP2;SNCA
GO_Biological_Process_2023	Neurotransmitter Transport (GO:0006836)	6/52	2.269230e-07	4.465844e-05	0	0	2.754949e+01	4.214702e+02	SNAP25;SYT1;STXBP1;SLC1A2;SLC17A7;SYN1
GO_Biological_Process_2023	Glycolytic Process (GO:0006096)	5/29	3.049720e-07	5.001541e-05	0	0	4.358772e+01	6.539486e+02	LDHA;TPI1;PKM;ENO2;GAPDH
GO_Biological_Process_2023	Presynaptic Endocytosis (GO:0140238)	5/31	4.329043e-07	6.085398e-05	0	0	4.023077e+01	5.894914e+02	SYT1;AP2M1;DNM1;VAMP2;SNCA
GO_Biological_Process_2023	Positive Regulation Of Protein Dephosphorylation (GO:0035307)	5/33	5.999247e-07	7.379073e-05	0	0	3.735338e+01	5.351418e+02	HSP90AB1;DYNLL1;CALM1;CALM2;PPIA
GO_Biological_Process_2023	Synaptic Vesicle Cycle (GO:0099504)	5/37	1.084535e-06	1.185758e-04	0	0	3.267763e+01	4.488063e+02	SNAP25;RAB3A;SLC17A7;VAMP2;SNCA
GO_Biological_Process_2023	Positive Regulation Of Cation Channel Activity (GO:2001259)	5/38	1.243927e-06	1.224024e-04	0	0	3.168581e+01	4.308394e+02	PPP3CA;PPP3R1;TMSB4X;CALM1;CALM2
GO_Biological_Process_2023	Synaptic Vesicle Endocytosis (GO:0048488)	5/40	1.617844e-06	1.289933e-04	0	0	2.987218e+01	3.983281e+02	SYT1;AP2M1;DNM1;VAMP2;SNCA
GO_Biological_Process_2023	Vesicle-Mediated Transport In Synapse (GO:0099003)	4/18	1.705881e-06	1.289933e-04	0	0	5.918452e+01	7.860550e+02	SNAP25;RAB3A;VAMP2;SNCA
GO_Biological_Process_2023	Carbohydrate Catabolic Process (GO:0016052)	5/41	1.835270e-06	1.289933e-04	0	0	2.904094e+01	3.835819e+02	LDHA;TPI1;PKM;ENO2;GAPDH
GO_Biological_Process_2023	Synaptic Vesicle Exocytosis (GO:0016079)	5/41	1.835270e-06	1.289933e-04	0	0	2.904094e+01	3.835819e+02	SNAP25;RAB3A;SYT1;VAMP2;SNCA
GO_Biological_Process_2023	Substantia Nigra Development (GO:0021762)	5/42	2.075056e-06	1.361237e-04	0	0	2.825462e+01	3.697265e+02	BASP1;DYNLL1;CALM1;CALM2;YWHAH
GO_Biological_Process_2023	Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)	5/43	2.338821e-06	1.438375e-04	0	0	2.750970e+01	3.566870e+02	COX8A;NDUFA4;COX4I1;COX6A1;COX6C
GO_Biological_Process_2023	Pyruvate Metabolic Process (GO:0006090)	5/50	5.007414e-06	2.898409e-04	0	0	2.322222e+01	2.834177e+02	LDHA;TPI1;PKM;ENO2;GAPDH
GO_Biological_Process_2023	Regulated Exocytosis (GO:0045055)	5/51	5.529796e-06	3.022955e-04	0	0	2.271625e+01	2.749883e+02	SNAP25;RAB3A;STXBP1;VAMP2;SNCA
GO_Biological_Process_2023	Neuron Projection Morphogenesis (GO:0048812)	7/146	8.685299e-06	4.498070e-04	0	0	1.070063e+01	1.247038e+02	APP;GPM6A;RAB3A;UBB;CCK;APBB1;DCLK1
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021)	4/27	9.451584e-06	4.650179e-04	0	0	3.600906e+01	4.166006e+02	PPP3CA;PPP3R1;CALM1;CALM2
GO_Biological_Process_2023	SNARE Complex Assembly (GO:0035493)	3/9	9.967716e-06	4.670587e-04	0	0	1.025464e+02	1.180941e+03	STXBP1;VAMP2;SNCA
GO_Biological_Process_2023	Positive Regulation Of Dephosphorylation (GO:0035306)	4/29	1.269340e-05	5.677409e-04	0	0	3.312500e+01	3.734655e+02	DYNLL1;CALM1;CALM2;PPIA
GO_Biological_Process_2023	Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020)	4/30	1.459016e-05	6.242053e-04	0	0	3.184936e+01	3.546478e+02	PPP3CA;PPP3R1;CALM1;CALM2
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	5/68	2.294502e-05	9.407459e-04	0	0	1.657226e+01	1.770317e+02	COX8A;NDUFA4;COX4I1;COX6A1;COX6C
