Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),18/93,4.0964084039080215e-24,3.744117281171932e-21,0,0,58.02439024390244,3124.7254969314367,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23,7
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),20/183,1.6675177135737973e-21,7.620555951032253e-19,0,0,30.271472392638035,1448.2765652717608,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;APOE;RPL28;RPS21;RPS23,7
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),19/158,2.862793842879172e-21,8.721978574638545e-19,0,0,33.3474553690381,1577.4176386619824,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23,7
GO_Biological_Process_2023,Translation (GO:0006412),19/234,5.404801216497245e-18,1.2349970779696204e-15,0,0,21.476600631639396,853.8934048293396,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23,7
GO_Biological_Process_2023,Gene Expression (GO:0010467),19/296,4.3372667735968295e-16,7.928523662135006e-14,0,0,16.617061104425726,587.8138655960129,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23,7
GO_Biological_Process_2023,Myelination (GO:0042552),6/48,1.39004517987732e-07,2.1175021573464508e-05,0,0,30.17933130699088,476.4942008841688,PLLP;PLP1;MAL;GPM6B;SIRT2;BCAS1,7
GO_Biological_Process_2023,Regulation Of Protein-Containing Complex Assembly (GO:0043254),7/119,2.2395280584429955e-06,0.00029241837791669974,0,0,13.298387096774194,173.00198119924593,HSP90AA1;GSN;RPS3;APOE;CLU;CRYAB;GFAP,7
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),5/50,5.007413746042903e-06,0.0005720970204854017,0,0,23.22222222222222,283.4177242058149,RPS15;RPL5;RPS14;RPLP0;RPSA,7
GO_Biological_Process_2023,Central Nervous System Myelination (GO:0022010),3/11,1.943756475353003e-05,0.0019739926871918,0,0,76.9020618556701,834.256871154208,PLP1;CLU;GPM6B,7
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),6/118,2.816378254021248e-05,0.0025741697241754,0,0,11.277355623100304,118.1581970879312,RPS15;RPL5;RPS14;RPS9;RPL7;RPS23,7
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),5/74,3.462786095496357e-05,0.0028772604466215,0,0,15.126620900076276,155.36328407117355,NTRK2;MAG;APOE;CLU;MT3,7
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229),3/15,5.2826809188518965e-05,0.0040236419665255,0,0,51.25773195876289,504.8113501315131,RPS3;CLU;TPT1,7
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),5/84,6.37964752715953e-05,0.0042293245121118,0,0,13.205196535642903,127.55972408735752,RPS15;RPS14;RPS9;RPSA;RPS23,7
GO_Biological_Process_2023,Negative Regulation Of Amyloid-Beta Formation (GO:1902430),3/16,6.478177589668101e-05,0.0042293245121118,0,0,47.312450436161775,456.30427675438654,NTRK2;APOE;CLU,7
