Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),47/158,4.913742857323065e-74,1.7468355857783494e-71,0,0,158.0967193608703,26686.609384745083,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Gene Expression (GO:0010467),54/296,4.0460078460726754e-73,5.138429964512298e-71,0,0,95.3586058210564,15895.419561651295,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPS19;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPL21;RPS7;RPS8;RPS5;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),48/183,1.1010679532360969e-72,2.609531049169549e-70,0,0,135.14529914529913,22392.203819249607,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;APOE;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Translation (GO:0006412),47/234,6.073625370731422e-65,1.0795869096475105e-62,0,0,93.48309958631825,13822.792081875956,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Gene Expression (GO:0010467),47/296,9.744097567939425e-60,1.3856106741609858e-57,0,0,69.98537546412064,9509.503910714271,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),20/93,1.0081095956763544e-27,8.367309644113742e-25,0,0,67.90068493150685,4220.823406702551,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;RPL9;RPL6;RPS29;RPL24;RPL38;RPL26;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),23/183,4.250142655772763e-26,1.763809202145697e-23,0,0,36.85227272727273,2152.91934950557,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;EEF2;RPL9;RPL6;EEF1A1;RPS29;RPL24;RPL38;RPL26;APOE;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),21/158,2.1606136490246982e-24,5.977697762301665e-22,0,0,38.34639194308417,2089.5581667513884,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;RPL9;RPL6;EEF1A1;RPS29;RPL24;RPL38;RPL26;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),18/93,4.0964084039080215e-24,3.744117281171932e-21,0,0,58.02439024390244,3124.7254969314367,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23,7
GO_Biological_Process_2023,Translation (GO:0006412),22/234,3.8137913930464857e-22,7.913617140571457e-20,0,0,26.19351717464925,1291.8183821735106,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;EEF2;RPL9;RPL6;EEF1A1;RPS29;RPL24;RPL38;RPL26;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),20/183,1.6675177135737973e-21,7.620555951032253e-19,0,0,30.271472392638035,1448.2765652717608,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;APOE;RPL28;RPS21;RPS23,7
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),19/158,2.862793842879172e-21,8.721978574638545e-19,0,0,33.3474553690381,1577.4176386619824,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23,7
GO_Biological_Process_2023,Gene Expression (GO:0010467),21/296,1.3186353224684002e-18,2.1889346352975443e-16,0,0,18.970080552359036,780.9969703610208,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;RPL9;RPL6;EEF1A1;RPS29;RPL24;RPL38;RPL26;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Translation (GO:0006412),19/234,5.404801216497245e-18,1.2349970779696204e-15,0,0,21.476600631639396,853.8934048293396,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23,7
