Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021),6/27,3.649133337536311e-09,3.5689595912890573e-06,0,0,60.422492401215806,1173.935078642783,PPP3CA;PPP3R1;CALM3;ATP1B1;CALM1;CALM2,11
GO_Biological_Process_2023,Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020),6/30,7.2319343288532075e-09,3.5689595912890573e-06,0,0,52.861702127659576,990.879882282229,FKBP1A;PPP3CA;PPP3R1;CALM3;CALM1;CALM2,11
GO_Biological_Process_2023,Positive Regulation Of Cation Channel Activity (GO:2001259),6/38,3.255718140890647e-08,1.071131268353023e-05,0,0,39.630319148936174,683.2373177278538,PPP3CA;PPP3R1;TMSB4X;CALM3;CALM1;CALM2,11
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),8/123,1.8867613297298197e-07,3.978594540574208e-05,0,0,14.960302457466918,231.63386177326504,GRIA1;GRIA2;PPP3CA;PLPPR4;CAMK2A;NPTX1;CPLX2;DGKZ,11
GO_Biological_Process_2023,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),6/51,2.0154987540902773e-07,3.978594540574208e-05,0,0,28.163120567375888,434.19727817155456,FKBP1A;PTK2B;CALM3;CALM1;CALM2;SNCA,11
GO_Biological_Process_2023,Negative Regulation Of Cation Channel Activity (GO:2001258),5/28,2.533915398786185e-07,4.168290831003273e-05,0,0,45.48512585812357,690.8430996254966,FKBP1A;PPP3CA;PPP3R1;CALM3;CALM2,11
GO_Biological_Process_2023,Positive Regulation Of Dephosphorylation (GO:0035306),5/29,3.049719828171407e-07,4.3001049577216834e-05,0,0,43.58771929824562,653.9485543615966,CALM3;NSMF;DYNLL1;CALM1;CALM2,11
GO_Biological_Process_2023,Positive Regulation Of Protein Dephosphorylation (GO:0035307),5/33,5.999246565775764e-07,7.401570450525848e-05,0,0,37.35338345864662,535.1418198010953,CALM3;NSMF;DYNLL1;CALM1;CALM2,11
GO_Biological_Process_2023,Regulation Of Neuronal Synaptic Plasticity (GO:0048168),5/34,7.005822036110875e-07,7.683051499601593e-05,0,0,36.063520871143375,511.06892537274086,CAMK2B;GRIN2A;CAMK2A;NSMF;NCDN,11
GO_Biological_Process_2023,Response To Metal Ion (GO:0010038),6/64,7.962603863129701e-07,7.859090012909015e-05,0,0,21.83639031548056,306.6558445351368,PPP3CA;ITPKA;CALM3;CALM1;CALM2;SNCA,11
GO_Biological_Process_2023,Response To Calcium Ion (GO:0051592),7/106,1.0272000000379626e-06,9.216785454886085e-05,0,0,15.054523731943087,207.58191851939728,PPP3CA;CPNE6;ITPKA;CALM3;ADCY1;CALM1;CALM2,11
GO_Biological_Process_2023,Regulation Of Protein Dephosphorylation (GO:0035304),5/40,1.6178435705615912e-06,0.00013306763367869088,0,0,29.872180451127814,398.3280936503916,CALM3;NSMF;DYNLL1;CALM1;CALM2,11
GO_Biological_Process_2023,Substantia Nigra Development (GO:0021762),5/42,2.075056133137789e-06,0.00015175149697011438,0,0,28.25462304409673,369.7265014059194,CALM3;DYNLL1;CALM1;CALM2;YWHAH,11
GO_Biological_Process_2023,Negative Regulation Of Calcium Ion Transmembrane Transport (GO:1903170),4/19,2.15250350312219e-06,0.00015175149697011438,0,0,55.23611111111112,720.769328837962,FKBP1A;PPP3CA;PPP3R1;CALM2,11
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),4/20,2.680321068927162e-06,0.00017636512633540725,0,0,51.78125,664.3313770708211,CALM3;ATP1B1;CALM1;CALM2,11
GO_Biological_Process_2023,Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316),3/7,4.183531145546383e-06,0.0002580715775408925,0,0,153.83505154639175,1905.147873854126,CALM3;CALM1;CALM2,11
GO_Biological_Process_2023,Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060314),4/24,5.788898332949143e-06,0.00033609662674240025,0,0,41.41666666666666,499.4671309916732,FKBP1A;CALM3;CALM1;CALM2,11
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase Activity (GO:0045860),7/145,8.302554654438461e-06,0.00045525674688504233,0,0,10.778712794140564,126.0995929494096,PRNP;MMD;PTK2B;CALM3;CALM1;CALM2;SNCA,11
GO_Biological_Process_2023,"Synaptic Transmission, Glutamatergic (GO:0035249)",4/27,9.451584250126313e-06,0.00049098492920393,0,0,36.00905797101449,416.60060929912464,GRIA1;GRIA2;GRIN2A;SLC17A7,11
GO_Biological_Process_2023,Regulation Of Calcium Ion Import Across Plasma Membrane (GO:1905664),3/10,1.4187907246385926e-05,0.000681161781583022,0,0,87.89248895434463,981.1544503878058,PPP3CA;PRNP;PPP3R1,11
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),6/105,1.4492803863468554e-05,0.000681161781583022,0,0,12.766602192134108,142.2436728143374,PRKCG;PRNP;UBB;PTK2B;NSMF;MT3,11
GO_Biological_Process_2023,Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051280),3/11,1.943756475353003e-05,0.0008341250613797452,0,0,76.9020618556701,834.256871154208,FKBP1A;CALM3;CALM2,11
GO_Biological_Process_2023,Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060315),3/11,1.943756475353003e-05,0.0008341250613797452,0,0,76.9020618556701,834.256871154208,FKBP1A;CALM3;CALM2,11
GO_Biological_Process_2023,Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),4/33,2.1536267738475066e-05,0.0008856790107447869,0,0,28.55028735632184,306.79488338882885,CALM3;CALM1;CALM2;SNCA,11
GO_Biological_Process_2023,Regulation Of Heart Contraction (GO:0008016),5/69,2.464013413076116e-05,0.0009102499777373786,0,0,16.3125,173.09412297852825,CALM3;ATP2B1;CALM1;CALM2;SCN1B,11
GO_Biological_Process_2023,Negative Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901386),3/12,2.5822694403897266e-05,0.0009102499777373786,0,0,68.35395189003437,722.1087027443646,PPP3CA;PPP3R1;CALM3,11
GO_Biological_Process_2023,Ionotropic Glutamate Receptor Signaling Pathway (GO:0035235),3/12,2.5822694403897266e-05,0.0009102499777373786,0,0,68.35395189003437,722.1087027443646,GRIA2;GRIN2A;PTK2B,11
GO_Biological_Process_2023,Regulation Of Cell Communication By Electrical Coupling (GO:0010649),3/12,2.5822694403897266e-05,0.0009102499777373786,0,0,68.35395189003437,722.1087027443646,CALM3;CALM1;CALM2,11
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Contraction (GO:0055117),4/35,2.7346704779035945e-05,0.0009307309523071888,0,0,26.705645161290324,280.5939309045606,CALM3;ATP1B1;CALM1;CALM2,11
GO_Biological_Process_2023,Membrane Depolarization (GO:0051899),3/13,3.344768461719186e-05,0.0010558051541298,0,0,61.51546391752577,633.9493354046144,SCN3B;SCN1B;YWHAH,11
GO_Biological_Process_2023,Membrane Depolarization During Action Potential (GO:0086010),3/13,3.344768461719186e-05,0.0010558051541298,0,0,61.51546391752577,633.9493354046144,SCN3B;SCN1B;YWHAH,11
GO_Biological_Process_2023,Regulation Of Phosphoprotein Phosphatase Activity (GO:0043666),4/37,3.423076487553643e-05,0.0010558051541298,0,0,25.08459595959596,257.92949230262207,FKBP1A;CALM3;CALM1;CALM2,11
GO_Biological_Process_2023,Negative Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010801),3/14,4.241532244475955e-05,0.0012686037349387,0,0,55.9203373945642,563.0060062434084,CALM3;CALM1;CALM2,11
GO_Biological_Process_2023,Positive Regulation Of Monoatomic Ion Transport (GO:0043270),4/40,4.682563824405718e-05,0.0013593207337318,0,0,22.99074074074074,229.19652633091084,CAMK2A;ATP2B1;SCN3B;SCN1B,11
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),6/135,5.996761645667396e-05,0.0016910867840782,0,0,9.782780801583376,95.10531751597772,PRNP;CPNE6;ITPKA;ADCY1;MT3;SNCA,11
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881),3/16,6.478177589668101e-05,0.001776100355834,0,0,47.312450436161775,456.30427675438654,CALM3;CALM1;CALM2,11
