Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),46/93,4.2637964229629787e-85,3.031559256726678e-82,0,0,359.8258471237195,69903.21366140683,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPL18A;RPS19;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPL39;RPS10;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),47/158,4.913742857323065e-74,1.7468355857783494e-71,0,0,158.0967193608703,26686.609384745083,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),48/183,1.1010679532360969e-72,2.609531049169549e-70,0,0,135.14529914529913,22392.203819249607,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;APOE;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Translation (GO:0006412),47/234,6.073625370731422e-65,1.0795869096475105e-62,0,0,93.48309958631825,13822.792081875956,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Gene Expression (GO:0010467),47/296,9.744097567939425e-60,1.3856106741609858e-57,0,0,69.98537546412064,9509.503910714271,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL11;RPL9;RPS15;RPS14;RPS16;RPS15A;RPS19;RPL18A;RPL36;RPL14;RPS3;RPLP2;RPL13;RPL38;RPL37;RPS2;RPS27A;RPS10;RPL39;RPL17;RPL19;RPS9;RPL41;RPL21;RPS8;RPL35A;RPSA;EEF1A1;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPS20;RPL26;FAU;RPL28;RPS21;RPS24;RPS23,4
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),16/118,6.708278153990056e-19,7.949309612478216e-17,0,0,36.971055088702144,1547.0824327078542,RPS9;RPS8;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL38;RPL26;RPS24;RPS23,4
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),15/155,1.5775728298972968e-15,1.602363260081397e-13,0,0,24.907563025210084,848.9217036723402,RPS9;RPS8;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL26;RPS24;RPS23,4
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),12/84,1.037943205324588e-14,9.224720237322277e-13,0,0,37.55303030303031,1209.168153869055,RPS15;RPS14;RPS25;RPS9;RPS16;RPS15A;RPS27;RPS19;RPS8;RPSA;RPS24;RPS23,4
GO_Biological_Process_2023,rRNA Processing (GO:0006364),11/101,3.0428859665514465e-12,2.403879913575643e-10,0,0,27.20474406991261,721.4212446414549,RPS15;RPS14;RPS25;RPS16;RPS27;RPS19;RPL11;RPL14;RPL35A;RPL26;RPS24,4
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),10/91,2.8332357667194687e-11,2.014430630137542e-09,0,0,27.18655692729767,660.2803589544516,RPS15;RPS25;RPS16;RPS27;RPS19;RPL11;RPL14;RPL35A;RPL26;RPS24,4
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),8/43,3.6862284799402856e-11,2.382644044761403e-09,0,0,49.35403726708075,1185.673108696565,COX8A;NDUFA4;COX4I1;UQCR11;COX6C;COX7C;MT3;UQCRH,4
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),10/100,7.354451682840389e-11,4.357512622082931e-09,0,0,24.45679012345679,570.653468760778,RPS15;RPS25;RPS16;RPS27;RPS19;RPL11;RPL14;RPL35A;RPL26;RPS24,4
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",5/16,1.1809708936460002e-08,6.459002349094663e-07,0,0,95.16267942583733,1737.132272169839,COX8A;NDUFA4;COX4I1;COX6C;COX7C,4
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),5/17,1.6664329868330147e-08,8.463098954559096e-07,0,0,87.2280701754386,1562.2543301775686,RPS15;RPS14;RPS27;RPS19;RPSA,4
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),7/68,4.769661183287384e-08,2.2608194008782195e-06,0,0,24.479640401903755,412.6877037121807,COX8A;NDUFA4;COX4I1;UQCR11;COX6C;COX7C;UQCRH,4
GO_Biological_Process_2023,Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),5/21,5.3939128394227595e-08,2.3969200180184885e-06,0,0,65.40789473684211,1094.6279146074917,RPS15;UBB;RPS20;RPL37;RPL17,4
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),7/70,5.850138446829928e-08,2.44673437393887e-06,0,0,23.700119474313023,394.7068951306194,COX8A;NDUFA4;COX4I1;UQCR11;COX6C;COX7C;UQCRH,4
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),6/50,1.7855601447493076e-07,7.052962571759764e-06,0,0,28.80464216634429,447.5769998450828,RPS15;RPS14;RPS27;RPS19;RPL11;RPSA,4
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),7/85,2.2660634206384498e-07,8.479847853020725e-06,0,0,19.127929418252,292.65830520328603,COX8A;NDUFA4;COX4I1;UQCR11;COX6C;COX7C;UQCRH,4
GO_Biological_Process_2023,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",5/30,3.645208180442666e-07,1.2958715081473678e-05,0,0,41.8421052631579,620.2959119819114,RPS14;RPS16;RPS19;RPS8;RPS21,4
GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),5/47,3.6685186157719727e-06,0.00012420555884827964,0,0,24.884711779448622,311.45015021757234,RPS15;RPL11;RPS20;RPL37;RPL17,4
