Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),20/93,1.0081095956763544e-27,8.367309644113742e-25,0,0,67.90068493150685,4220.823406702551,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;RPL9;RPL6;RPS29;RPL24;RPL38;RPL26;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),23/183,4.250142655772763e-26,1.763809202145697e-23,0,0,36.85227272727273,2152.91934950557,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;EEF2;RPL9;RPL6;EEF1A1;RPS29;RPL24;RPL38;RPL26;APOE;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),21/158,2.1606136490246982e-24,5.977697762301665e-22,0,0,38.34639194308417,2089.5581667513884,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;RPL9;RPL6;EEF1A1;RPS29;RPL24;RPL38;RPL26;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Translation (GO:0006412),22/234,3.8137913930464857e-22,7.913617140571457e-20,0,0,26.19351717464925,1291.8183821735106,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;EEF2;RPL9;RPL6;EEF1A1;RPS29;RPL24;RPL38;RPL26;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Gene Expression (GO:0010467),21/296,1.3186353224684002e-18,2.1889346352975443e-16,0,0,18.970080552359036,780.9969703610208,RPL3;RPL21;RPS8;RPL34;RPS6;RPL35A;RPSA;RPL23A;RPL9;RPL6;EEF1A1;RPS29;RPL24;RPL38;RPL26;FAU;RPS11;RPS27A;RPL17;RPS24;RPS23,2
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),8/118,1.367887700088988e-07,1.8922446517897665e-05,0,0,15.644268774703557,247.25497600768207,RPS8;RPS6;RPL35A;RPL38;RPL26;RPS11;RPS24;RPS23,2
GO_Biological_Process_2023,Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110),5/27,2.089685379129767e-07,2.4777698066824377e-05,0,0,47.55502392344498,731.4477287849724,MAP1B;STMN1;STMN2;STMN3;FKBP4,2
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),6/84,3.983102640261312e-06,0.0004132468989271111,0,0,16.220949263502455,201.6823532585693,RPS8;RPS6;RPSA;RPS11;RPS24;RPS23,2
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),7/155,1.28377418334659e-05,0.0011839250801974,0,0,10.045335658238884,113.14183245929657,RPS8;RPS6;RPL35A;RPL26;RPS11;RPS24;RPS23,2
GO_Biological_Process_2023,Negative Regulation Of Supramolecular Fiber Organization (GO:1902904),5/71,2.8321318632782203e-05,0.0023506694465209,0,0,15.81658692185008,165.62964902369305,HSPA8;STMN1;STMN2;APOE;CLU,2
GO_Biological_Process_2023,Neuron Projection Development (GO:0031175),7/192,5.077565802712568e-05,0.0036589514710402,0,0,8.021214763150248,79.31452148873035,UBB;MAP1B;STMN1;STMN2;STMN3;APOE;POU4F1,2
GO_Biological_Process_2023,Plasma Membrane Bounded Cell Projection Organization (GO:0120036),6/132,5.290050319576271e-05,0.0036589514710402,0,0,10.017223910840933,98.64058260232652,MAP1B;STMN1;STMN2;STMN3;APOE;POU4F1,2
GO_Biological_Process_2023,Microtubule Depolymerization (GO:0007019),3/17,7.837829876798801e-05,0.0050041529213407,0,0,43.930780559646536,415.3199946350019,STMN1;STMN2;STMN3,2
GO_Biological_Process_2023,Neuron Development (GO:0048666),6/150,0.00010746778994043538,0.0063713046893258,0,0,8.75709219858156,80.02510538362931,MAP1B;STMN1;STMN2;STMN3;APOE;POU4F1,2
GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),4/54,0.0001535840638561188,0.0084983182000385,0,0,16.541666666666668,145.25671708113592,RPL35A;RPL23A;RPL26;RPL6,2
GO_Biological_Process_2023,Cytoskeleton-Dependent Intracellular Transport (GO:0030705),3/22,0.00017430999547730406,0.0089686722994405,0,0,32.36190992946283,280.0818212549987,TUBA1B;TUBA1A;TUBB2A,2
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),5/105,0.00018369569769938475,0.0089686722994405,0,0,10.421052631578949,89.64429143587893,UBB;CTNNB1;APOE;CLU;POU4F1,2
GO_Biological_Process_2023,Regulation Of Supramolecular Fiber Organization (GO:1902903),3/24,0.00022743640782365407,0.0096867786632745,0,0,29.276877761413843,245.59318448881905,HSPA8;MAP1B;APOE,2
GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),4/60,0.00023144518216262016,0.0096867786632745,0,0,14.764880952380953,123.59929166727188,CST3;SERPINE2;SERPINB7;GAPDH,2
GO_Biological_Process_2023,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),6/174,0.00024120140681926631,0.0096867786632745,0,0,7.496960486322188,62.4487681751743,TCF7L2;TYRP1;CTNNB1;RPL26;EEF2;CLU,2
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255),2/5,0.0002450871709985121,0.0096867786632745,0,0,135.35374149659864,1125.3170126751409,UBB;RPL26,2
GO_Biological_Process_2023,Microtubule Polymerization Or Depolymerization (GO:0031109),3/27,0.0003251243529193447,0.0120647035387428,0,0,25.61340206185567,205.70898832313847,STMN1;STMN2;STMN3,2
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),4/66,0.00033432311010974254,0.0120647035387428,0,0,13.331989247311828,106.70127789939,CST3;SERPINE2;SERPINB7;GAPDH,2
GO_Biological_Process_2023,Protein Depolymerization (GO:0051261),3/28,0.0003628213719805087,0.0125475724476592,0,0,24.587628865979383,194.773359177925,STMN1;STMN2;STMN3,2
GO_Biological_Process_2023,Positive Regulation Of Protein Metabolic Process (GO:0051247),6/196,0.0004556816750344803,0.0151286316111447,0,0,6.621500559910414,50.94394528705941,NDUFA13;RPL26;APOE;EEF2;CLU;AGT,2
GO_Biological_Process_2023,Negative Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031111),3/31,0.0004924436798304106,0.0157187483986941,0,0,21.949926362297496,167.17350275311443,STMN1;STMN2;FKBP4,2
GO_Biological_Process_2023,Neuroepithelial Cell Differentiation (GO:0060563),2/7,0.0005113327792346296,0.0157187483986941,0,0,81.20408163265306,615.4043164173056,TUBB2A;MAP1B,2
GO_Biological_Process_2023,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),2/8,0.0006795551666861537,0.0201439567267681,0,0,67.66666666666667,493.5655481733249,UBB;RPS27A,2
GO_Biological_Process_2023,Negative Regulation Of Protein Metabolic Process (GO:0051248),5/147,0.0008613420107155743,0.0246522023756526,0,0,7.323202372127501,51.67997760297007,CST3;SERPINE2;APOE;CLU;GAPDH,2
GO_Biological_Process_2023,Regulation Of Microtubule Cytoskeleton Organization (GO:0070507),3/40,0.0010476950310726,0.02814318403462,0,0,16.60323209807746,113.9174773737536,STMN1;STMN2;STMN3,2
GO_Biological_Process_2023,Negative Regulation Of Hemostasis (GO:1900047),2/10,0.0010850384206118,0.02814318403462,0,0,50.74489795918368,346.39177176286466,SERPINE2;APOE,2
GO_Biological_Process_2023,Maintenance Of Synapse Structure (GO:0099558),2/10,0.0010850384206118,0.02814318403462,0,0,50.74489795918368,346.39177176286466,CBLN2;CBLN1,2
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),4/91,0.0011270820860933,0.0283478221653781,0,0,9.488984674329505,64.41239711328686,RPS6;RPL35A;RPL26;RPS24,2
GO_Biological_Process_2023,Negative Regulation Of Microtubule Polymerization (GO:0031115),2/11,0.0013218400851343,0.0313464934474706,0,0,45.10430839002267,298.984305122014,STMN1;STMN2,2
GO_Biological_Process_2023,Ganglion Development (GO:0061548),2/11,0.0013218400851343,0.0313464934474706,0,0,45.10430839002267,298.984305122014,TUBB3;CTNNB1,2
GO_Biological_Process_2023,Negative Regulation Of Coagulation (GO:0050819),2/12,0.0015810451022911,0.0356797684000464,0,0,40.59183673469388,261.8039188938469,SERPINE2;APOE,2
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),4/100,0.0015979577835658,0.0356797684000464,0,0,8.59548611111111,55.34658305163635,RPS6;RPL35A;RPL26;RPS24,2
GO_Biological_Process_2023,rRNA Processing (GO:0006364),4/101,0.0016575407230688,0.0356797684000464,0,0,8.506443298969073,54.46182497940836,RPS6;RPL35A;RPL26;RPS24,2
GO_Biological_Process_2023,Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718),3/47,0.0016765192380744,0.0356797684000464,0,0,13.95688847235239,89.19896993336747,TCF7L2;CTNNB1;AGT,2
GO_Biological_Process_2023,Negative Regulation Of MAPK Cascade (GO:0043409),4/105,0.001911353052285,0.0396162189151657,0,0,8.167904290429043,51.130622502952,UCHL1;APOE;PPIA;AGT,2
