Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),8/273,6.844088921235617e-05,0.0024345402019823,0,0,6.44298605414274,61.785273235878414,GABRA2;GRIA2;SST;SLC1A2;MAPK1;SLC17A7;SYN2;SNCA,0
GO_Biological_Process_2023,Positive Regulation Of Macrophage Migration (GO:1905523),3/18,9.371291441807692e-05,0.0030109052503356,0,0,41.0,380.2862565875762,MAPK1;CX3CL1;MAPK3,0
GO_Biological_Process_2023,Vesicle-Mediated Transport In Synapse (GO:0099003),3/18,9.371291441807692e-05,0.0030109052503356,0,0,41.0,380.2862565875762,CPLX2;VAMP2;SNCA,0
GO_Biological_Process_2023,Positive Regulation Of Phosphoprotein Phosphatase Activity (GO:0032516),3/18,9.371291441807692e-05,0.0030109052503356,0,0,41.0,380.2862565875762,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Negative Regulation Of Protein Phosphorylation (GO:0001933),6/149,0.00010358369424193892,0.0032240424832803,0,0,8.818776967713138,80.91343069335824,CAMK2N1;CALM3;CALM1;PPIA;CALM2;SNCA,0
GO_Biological_Process_2023,Neurotransmitter Transport (GO:0006836),4/52,0.0001324843517277032,0.0039986186157815,0,0,17.23263888888889,153.8710256794273,GABRA2;SLC1A2;SLC17A7;SYN2,0
GO_Biological_Process_2023,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),3/22,0.00017430999547730406,0.004764966079545,0,0,32.36190992946283,280.0818212549987,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Positive Regulation Of Protein Autophosphorylation (GO:0031954),3/22,0.00017430999547730406,0.004764966079545,0,0,32.36190992946283,280.0818212549987,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744),3/22,0.00017430999547730406,0.004764966079545,0,0,32.36190992946283,280.0818212549987,APLP1;STMN1;SNCA,0
GO_Biological_Process_2023,Regulation Of Cation Channel Activity (GO:2001257),4/56,0.00017701179211161472,0.004764966079545,0,0,15.903846153846152,137.39800592224685,FKBP1A;CALM1;CALM2;VAMP2,0
GO_Biological_Process_2023,Response To Calcium Ion (GO:0051592),5/106,0.00019203213177993413,0.0050332632434951,0,0,10.31735278791037,88.29433534191173,MEF2C;CPNE6;CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Regulation Of Macrophage Proliferation (GO:0120040),2/5,0.0002450871709985121,0.0062591492901158,0,0,135.35374149659864,1125.3170126751409,MAPK1;MAPK3,0
GO_Biological_Process_2023,Regulation Of Secretion By Cell (GO:1903530),4/64,0.0002969939518054612,0.0073860536498309,0,0,13.77777777777778,111.90033879709756,MEF2C;CAMK2A;CPLX2;VAMP2,0
GO_Biological_Process_2023,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),5/117,0.0003040443771516773,0.0073860536498309,0,0,9.298872180451127,75.30539961191606,MEF2C;CALM3;CALM1;CALM2;SNCA,0
