Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),54/93,2.2109213072242667e-106,1.4039350300874094e-103,0,0,597.8227424749164,145438.68178854606,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPL18A;RPS19;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPL21;RPS7;RPS8;RPS5;RPSA;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),54/158,6.100380478408251e-90,1.93687080189462e-87,0,0,223.44983277591973,45902.02709791984,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPS19;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPL21;RPS7;RPS8;RPS5;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),55/183,4.25661983046931e-88,9.009845307826706e-86,0,0,188.79513888888889,37981.61966408395,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPS19;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPL21;RPS7;RPS8;RPS5;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;APOE;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Translation (GO:0006412),55/234,2.463494421830449e-81,3.9107973946558376e-79,0,0,134.65611421477342,24993.2266906006,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPS19;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPL21;RPS7;RPS8;RPS5;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Gene Expression (GO:0010467),54/296,4.0460078460726754e-73,5.138429964512298e-71,0,0,95.3586058210564,15895.419561651295,RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS14;RPS16;RPS19;RPL18A;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPL21;RPS7;RPS8;RPS5;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23,10
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),18/118,4.000360150935621e-22,4.233714493073532e-20,0,0,43.46341463414634,2141.463634004971,RPS7;RPS8;RPS5;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL38;RPL26;RPS11;RPS24;RPS23,10
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),17/155,2.0515760335612572e-18,1.8610725447305682e-16,0,0,29.330714160991796,1194.579079007741,RPS7;RPS8;RPS5;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL26;RPS11;RPS24;RPS23,10
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),14/84,5.64989783545691e-18,4.484606406893922e-16,0,0,46.11627906976744,1831.503144666208,RPS7;RPS8;RPS5;RPSA;RPS15;RPS14;RPS25;RPS16;RPS15A;RPS27;RPS19;RPS11;RPS24;RPS23,10
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),10/50,5.3573984672254163e-14,3.77994225187571e-12,0,0,55.16666666666666,1685.7671564230566,RPS15;RPS14;RPS27;RPS19;RPL10;RPS5;RPL11;RPSA;RPL23A;RPL6,10
GO_Biological_Process_2023,rRNA Processing (GO:0006364),12/101,1.021713145999452e-13,6.48787847709652e-12,0,0,30.353932584269664,907.9506389244208,RPS15;RPS14;RPS25;RPS16;RPS27;RPS19;RPS7;RPL11;RPL14;RPL35A;RPL26;RPS24,10
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),11/91,9.43886130138407e-13,5.4487972057989855e-11,0,0,30.620786516853933,847.8519414455311,RPS15;RPS25;RPS16;RPS27;RPS19;RPS7;RPL11;RPL14;RPL35A;RPL26;RPS24,10
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),11/100,2.7226035105432305e-12,1.4407110243291258e-10,0,0,27.51180406514329,732.6237298678811,RPS15;RPS25;RPS16;RPS27;RPS19;RPS7;RPL11;RPL14;RPL35A;RPL26;RPS24,10
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),6/17,1.5884072793151417e-10,7.758758633577811e-09,0,0,115.4100580270793,2604.01088770498,RPS15;RPS14;RPS27;RPS19;RPS5;RPSA,10
