Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Signal Release From Synapse (GO:0099643),8/38,1.2688682572391311e-11,1.2308022095219572e-08,0,0,57.594202898550726,1445.056442697466,SNAP25;RAB3A;SYT1;STXBP1;CPLX1;SYN1;STX1A;VAMP2,8
GO_Biological_Process_2023,Neurotransmitter Secretion (GO:0007269),8/43,3.6862284799402856e-11,1.787820812771039e-08,0,0,49.35403726708075,1185.673108696565,SNAP25;RAB3A;SYT1;STXBP1;CPLX1;SYN1;STX1A;VAMP2,8
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),9/123,1.1128221635229806e-08,3.5981249953909706e-06,0,0,17.165413533834588,314.363632225756,APP;PPP3CA;MEF2C;SYT1;CLSTN1;CAMK2A;DLGAP1;CPLX1;SYN1,8
GO_Biological_Process_2023,Vesicle-Mediated Transport In Synapse (GO:0099003),5/18,2.2982533439147207e-08,5.022280500340822e-06,0,0,80.51417004048584,1416.1260018802632,SNAP25;RAB3A;CPLX1;STX1A;VAMP2,8
GO_Biological_Process_2023,Synaptic Vesicle Cycle (GO:0099504),6/37,2.7527283964866817e-08,5.022280500340822e-06,0,0,40.91077556623198,712.1783885669731,SNAP25;RAB3A;SLC17A7;CPLX1;STX1A;VAMP2,8
GO_Biological_Process_2023,Regulation Of Secretion By Cell (GO:1903530),7/64,3.1065652579427773e-08,5.022280500340822e-06,0,0,26.202791926051688,452.9719363056897,MEF2C;RAB3A;SYT1;CAMK2A;CPLX1;SYN1;VAMP2,8
GO_Biological_Process_2023,Synaptic Vesicle Exocytosis (GO:0016079),6/41,5.23894695571412e-08,7.259683638632424e-06,0,0,36.22796352583587,607.3458764835119,SNAP25;RAB3A;SYT1;CPLX1;STX1A;VAMP2,8
GO_Biological_Process_2023,Synaptic Vesicle Recycling (GO:0036465),6/44,8.125995834190389e-08,9.852769948955846e-06,0,0,33.36282194848824,544.6685016709359,RAB3A;SYT1;SNCB;DNM1;STX1A;VAMP2,8
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),11/273,1.212825096960397e-07,1.3071559378350944e-05,0,0,9.264002058495583,147.53055958917057,SNAP25;GABRA1;SYT1;STXBP1;KIF5A;SLC1A2;DLGAP1;SLC17A7;SNCB;CPLX1;SYN1,8
GO_Biological_Process_2023,Regulated Exocytosis (GO:0045055),6/51,2.0154987540902773e-07,1.834294135959813e-05,0,0,28.163120567375888,434.19727817155456,SNAP25;RAB3A;STXBP1;CPLX1;STX1A;VAMP2,8
