Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021)	6/27	3.649133e-09	3.568960e-06	0	0	6.042249e+01	1.173935e+03	PPP3CA;PPP3R1;CALM3;ATP1B1;CALM1;CALM2
GO_Biological_Process_2023	Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020)	6/30	7.231934e-09	3.568960e-06	0	0	5.286170e+01	9.908799e+02	FKBP1A;PPP3CA;PPP3R1;CALM3;CALM1;CALM2
GO_Biological_Process_2023	Positive Regulation Of Cation Channel Activity (GO:2001259)	6/38	3.255718e-08	1.071131e-05	0	0	3.963032e+01	6.832373e+02	PPP3CA;PPP3R1;TMSB4X;CALM3;CALM1;CALM2
GO_Biological_Process_2023	Modulation Of Chemical Synaptic Transmission (GO:0050804)	8/123	1.886761e-07	3.978595e-05	0	0	1.496030e+01	2.316339e+02	GRIA1;GRIA2;PPP3CA;PLPPR4;CAMK2A;NPTX1;CPLX2;DGKZ
GO_Biological_Process_2023	Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)	6/51	2.015499e-07	3.978595e-05	0	0	2.816312e+01	4.341973e+02	FKBP1A;PTK2B;CALM3;CALM1;CALM2;SNCA
GO_Biological_Process_2023	Negative Regulation Of Cation Channel Activity (GO:2001258)	5/28	2.533915e-07	4.168291e-05	0	0	4.548513e+01	6.908431e+02	FKBP1A;PPP3CA;PPP3R1;CALM3;CALM2
GO_Biological_Process_2023	Positive Regulation Of Dephosphorylation (GO:0035306)	5/29	3.049720e-07	4.300105e-05	0	0	4.358772e+01	6.539486e+02	CALM3;NSMF;DYNLL1;CALM1;CALM2
GO_Biological_Process_2023	Positive Regulation Of Protein Dephosphorylation (GO:0035307)	5/33	5.999247e-07	7.401570e-05	0	0	3.735338e+01	5.351418e+02	CALM3;NSMF;DYNLL1;CALM1;CALM2
GO_Biological_Process_2023	Regulation Of Neuronal Synaptic Plasticity (GO:0048168)	5/34	7.005822e-07	7.683051e-05	0	0	3.606352e+01	5.110689e+02	CAMK2B;GRIN2A;CAMK2A;NSMF;NCDN
GO_Biological_Process_2023	Response To Metal Ion (GO:0010038)	6/64	7.962604e-07	7.859090e-05	0	0	2.183639e+01	3.066558e+02	PPP3CA;ITPKA;CALM3;CALM1;CALM2;SNCA
