Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Signal Release From Synapse (GO:0099643)	8/38	1.268868e-11	1.230802e-08	0	0	5.759420e+01	1.445056e+03	SNAP25;RAB3A;SYT1;STXBP1;CPLX1;SYN1;STX1A;VAMP2
GO_Biological_Process_2023	Neurotransmitter Secretion (GO:0007269)	8/43	3.686228e-11	1.787821e-08	0	0	4.935404e+01	1.185673e+03	SNAP25;RAB3A;SYT1;STXBP1;CPLX1;SYN1;STX1A;VAMP2
GO_Biological_Process_2023	Modulation Of Chemical Synaptic Transmission (GO:0050804)	9/123	1.112822e-08	3.598125e-06	0	0	1.716541e+01	3.143636e+02	APP;PPP3CA;MEF2C;SYT1;CLSTN1;CAMK2A;DLGAP1;CPLX1;SYN1
GO_Biological_Process_2023	Vesicle-Mediated Transport In Synapse (GO:0099003)	5/18	2.298253e-08	5.022281e-06	0	0	8.051417e+01	1.416126e+03	SNAP25;RAB3A;CPLX1;STX1A;VAMP2
GO_Biological_Process_2023	Synaptic Vesicle Cycle (GO:0099504)	6/37	2.752728e-08	5.022281e-06	0	0	4.091078e+01	7.121784e+02	SNAP25;RAB3A;SLC17A7;CPLX1;STX1A;VAMP2
GO_Biological_Process_2023	Regulation Of Secretion By Cell (GO:1903530)	7/64	3.106565e-08	5.022281e-06	0	0	2.620279e+01	4.529719e+02	MEF2C;RAB3A;SYT1;CAMK2A;CPLX1;SYN1;VAMP2
GO_Biological_Process_2023	Synaptic Vesicle Exocytosis (GO:0016079)	6/41	5.238947e-08	7.259684e-06	0	0	3.622796e+01	6.073459e+02	SNAP25;RAB3A;SYT1;CPLX1;STX1A;VAMP2
GO_Biological_Process_2023	Synaptic Vesicle Recycling (GO:0036465)	6/44	8.125996e-08	9.852770e-06	0	0	3.336282e+01	5.446685e+02	RAB3A;SYT1;SNCB;DNM1;STX1A;VAMP2
GO_Biological_Process_2023	Chemical Synaptic Transmission (GO:0007268)	11/273	1.212825e-07	1.307156e-05	0	0	9.264002e+00	1.475306e+02	SNAP25;GABRA1;SYT1;STXBP1;KIF5A;SLC1A2;DLGAP1;SLC17A7;SNCB;CPLX1;SYN1
GO_Biological_Process_2023	Regulated Exocytosis (GO:0045055)	6/51	2.015499e-07	1.834294e-05	0	0	2.816312e+01	4.341973e+02	SNAP25;RAB3A;STXBP1;CPLX1;STX1A;VAMP2
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021)	5/27	2.089685e-07	1.834294e-05	0	0	4.755502e+01	7.314477e+02	PPP3CA;PPP3R1;ATP1B1;CALM1;CALM2
GO_Biological_Process_2023	Neurotransmitter Transport (GO:0006836)	6/52	2.269230e-07	1.834294e-05	0	0	2.754949e+01	4.214702e+02	SNAP25;SYT1;STXBP1;SLC1A2;SLC17A7;SYN1
GO_Biological_Process_2023	Presynaptic Endocytosis (GO:0140238)	5/31	4.329043e-07	3.230132e-05	0	0	4.023077e+01	5.894914e+02	SYT1;SNCB;DNM1;STX1A;VAMP2
GO_Biological_Process_2023	Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)	4/16	1.022429e-06	7.083974e-05	0	0	6.905556e+01	9.525060e+02	COX8A;COX4I1;COX6A1;COX6C
GO_Biological_Process_2023	Synaptic Vesicle Endocytosis (GO:0048488)	5/40	1.617844e-06	1.046206e-04	0	0	2.987218e+01	3.983281e+02	SYT1;SNCB;DNM1;STX1A;VAMP2
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882)	4/20	2.680321e-06	1.624945e-04	0	0	5.178125e+01	6.643314e+02	ATP2A2;ATP1B1;CALM1;CALM2
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	8/188	4.672928e-06	2.666318e-04	0	0	9.526570e+00	1.169265e+02	CYFIP2;APP;HSP90AA1;RAB3A;KIF5A;CCK;APBB1;SCN1B
GO_Biological_Process_2023	Pyruvate Metabolic Process (GO:0006090)	5/50	5.007414e-06	2.698440e-04	0	0	2.322222e+01	2.834177e+02	LDHB;TPI1;PKM;ENO2;GAPDH
GO_Biological_Process_2023	Vesicle-Mediated Transport (GO:0016192)	11/411	6.638362e-06	3.389058e-04	0	0	6.025281e+00	7.183729e+01	APP;SNAP25;RAB3A;STXBP1;KIF5A;OSBPL1A;CPLX1;STX1A;DCLK1;DNM1;VAMP2
GO_Biological_Process_2023	Anterograde Trans-Synaptic Signaling (GO:0098916)	8/199	7.100355e-06	3.443672e-04	0	0	8.972911e+00	1.063771e+02	SNAP25;SYT1;KIF5A;SLC1A2;DLGAP1;SNCB;CPLX1;SYN1
GO_Biological_Process_2023	Neuron Projection Morphogenesis (GO:0048812)	7/146	8.685299e-06	4.011781e-04	0	0	1.070063e+01	1.247038e+02	APP;GPM6A;PAK1;RAB3A;CCK;APBB1;DCLK1
GO_Biological_Process_2023	Glycolytic Process (GO:0006096)	4/29	1.269340e-05	5.596633e-04	0	0	3.312500e+01	3.734655e+02	TPI1;PKM;ENO2;GAPDH
GO_Biological_Process_2023	Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020)	4/30	1.459016e-05	6.153243e-04	0	0	3.184936e+01	3.546478e+02	PPP3CA;PPP3R1;CALM1;CALM2
GO_Biological_Process_2023	Regulation Of Heart Contraction (GO:0008016)	5/69	2.464013e-05	9.958721e-04	0	0	1.631250e+01	1.730941e+02	ATP2A2;ATP2B2;CALM1;CALM2;SCN1B
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Contraction (GO:0055117)	4/35	2.734670e-05	1.061052e-03	0	0	2.670565e+01	2.805939e+02	ATP2A2;ATP1B1;CALM1;CALM2
GO_Biological_Process_2023	Regulation Of Neurotransmitter Secretion (GO:0046928)	4/38	3.811160e-05	1.369195e-03	0	0	2.434559e+01	2.477162e+02	MEF2C;CAMK2A;CPLX1;SYN1
GO_Biological_Process_2023	Positive Regulation Of Cation Channel Activity (GO:2001259)	4/38	3.811160e-05	1.369195e-03	0	0	2.434559e+01	2.477162e+02	PPP3CA;PPP3R1;CALM1;CALM2
GO_Biological_Process_2023	Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)	5/77	4.197217e-05	1.454036e-03	0	0	1.449415e+01	1.460794e+02	APP;MEF2C;RAB3A;CCK;APBB1
GO_Biological_Process_2023	Neuron Projection Development (GO:0031175)	7/192	5.077566e-05	1.671294e-03	0	0	8.021215e+00	7.931452e+01	APP;GPM6A;PAK1;STMN1;STMN3;RAB6B;DCLK1
GO_Biological_Process_2023	Carbohydrate Catabolic Process (GO:0016052)	4/41	5.168950e-05	1.671294e-03	0	0	2.236824e+01	2.207803e+02	TPI1;PKM;ENO2;GAPDH
GO_Biological_Process_2023	Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)	4/43	6.250942e-05	1.955940e-03	0	0	2.121902e+01	2.054042e+02	COX8A;COX4I1;COX6A1;COX6C
GO_Biological_Process_2023	Exocytosis (GO:0006887)	5/86	7.140264e-05	2.164393e-03	0	0	1.287784e+01	1.229470e+02	SNAP25;RAB3A;CPLX1;STX1A;VAMP2
GO_Biological_Process_2023	Neuron Development (GO:0048666)	6/150	1.074678e-04	3.158902e-03	0	0	8.757092e+00	8.002511e+01	APP;GPM6A;MEF2C;STMN1;STMN3;RAB6B
GO_Biological_Process_2023	Negative Regulation Of Calcium Ion Transmembrane Transport (GO:1903170)	3/19	1.108806e-04	3.163359e-03	0	0	3.843557e+01	3.500349e+02	PPP3CA;PPP3R1;CALM2
GO_Biological_Process_2023	Regulation Of Neurotransmitter Transport (GO:0051588)	3/21	1.510879e-04	4.138237e-03	0	0	3.416151e+01	3.005410e+02	MEF2C;CPLX1;SYN1
GO_Biological_Process_2023	Regulation Of Exocytosis (GO:0017157)	4/54	1.535841e-04	4.138237e-03	0	0	1.654167e+01	1.452567e+02	RAB3A;SYT1;CPLX1;VAMP2
GO_Biological_Process_2023	Positive Regulation Of Phosphatase Activity (GO:0010922)	3/22	1.743100e-04	4.569749e-03	0	0	3.236191e+01	2.800818e+02	MEF2C;CALM1;CALM2
GO_Biological_Process_2023	Response To Calcium Ion (GO:0051592)	5/106	1.920321e-04	4.901873e-03	0	0	1.031735e+01	8.829434e+01	PPP3CA;MEF2C;SYT1;CALM1;CALM2
GO_Biological_Process_2023	Generation Of Neurons (GO:0048699)	6/172	2.266155e-04	5.636334e-03	0	0	7.588054e+00	6.368089e+01	GPM6A;RTN3;MEF2C;RTN1;CCK;ATP2B2
GO_Biological_Process_2023	Axo-Dendritic Transport (GO:0008088)	2/5	2.450872e-04	5.943364e-03	0	0	1.353537e+02	1.125317e+03	APP;HSPA8
GO_Biological_Process_2023	Calcium-Ion Regulated Exocytosis (GO:0017156)	3/26	2.900494e-04	6.862144e-03	0	0	2.672837e+01	2.177149e+02	RAB3A;SYT1;VAMP2
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	9/433	3.213851e-04	7.422464e-03	0	0	4.542919e+00	3.653811e+01	APP;OLFM1;GPM6A;MEF2C;NRSN1;STMN3;SERPINI1;DCLK1;NRGN
GO_Biological_Process_2023	Negative Regulation Of Cation Channel Activity (GO:2001258)	3/28	3.628214e-04	7.562536e-03	0	0	2.458763e+01	1.947734e+02	PPP3CA;PPP3R1;CALM2
GO_Biological_Process_2023	Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158)	3/28	3.628214e-04	7.562536e-03	0	0	2.458763e+01	1.947734e+02	SYT1;STXBP1;STX1A
GO_Biological_Process_2023	Autophagosome Membrane Docking (GO:0016240)	2/6	3.664322e-04	7.562536e-03	0	0	1.015102e+02	8.031180e+02	ATP2A2;CALM1
GO_Biological_Process_2023	Hepatocyte Growth Factor Receptor Signaling Pathway (GO:0048012)	2/6	3.664322e-04	7.562536e-03	0	0	1.015102e+02	8.031180e+02	PAK1;STMN1
GO_Biological_Process_2023	Mitochondrion-Endoplasmic Reticulum Membrane Tethering (GO:1990456)	2/6	3.664322e-04	7.562536e-03	0	0	1.015102e+02	8.031180e+02	ATP2A2;CALM1
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	4/68	3.748983e-04	7.576070e-03	0	0	1.291406e+01	1.018772e+02	COX8A;COX4I1;COX6A1;COX6C
GO_Biological_Process_2023	Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412)	4/69	3.964528e-04	7.822488e-03	0	0	1.271474e+01	9.959400e+01	APP;MEF2C;SCN1B;YWHAH
GO_Biological_Process_2023	Cardiac Muscle Cell Action Potential (GO:0086001)	3/29	4.032210e-04	7.822488e-03	0	0	2.364076e+01	1.847768e+02	ATP1A1;ATP1B1;SCN1B
GO_Biological_Process_2023	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	4/70	4.188785e-04	7.966904e-03	0	0	1.252146e+01	9.739107e+01	COX8A;COX4I1;COX6A1;COX6C
GO_Biological_Process_2023	Regulation Of Hydrolase Activity (GO:0051336)	4/71	4.421954e-04	8.248646e-03	0	0	1.233396e+01	9.526449e+01	CAMK2A;CHN1;STMN3;NGEF
GO_Biological_Process_2023	Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316)	2/7	5.113328e-04	9.358355e-03	0	0	8.120408e+01	6.154043e+02	CALM1;CALM2
GO_Biological_Process_2023	Plasma Membrane Bounded Cell Projection Organization (GO:0120036)	5/132	5.291725e-04	9.505505e-03	0	0	8.194364e+00	6.181989e+01	APP;GPM6A;STMN1;STMN3;RAB6B
GO_Biological_Process_2023	Gluconeogenesis (GO:0006094)	3/32	5.414211e-04	9.548699e-03	0	0	2.119197e+01	1.593914e+02	TPI1;MDH1;ENO2
GO_Biological_Process_2023	Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)	3/33	5.934099e-04	1.024365e-02	0	0	2.048454e+01	1.521924e+02	THY1;CALM1;CALM2
GO_Biological_Process_2023	Positive Regulation Of Synaptic Transmission (GO:0050806)	4/77	6.019463e-04	1.024365e-02	0	0	1.131678e+01	8.391780e+01	APP;SYT1;CLSTN1;VAMP2
GO_Biological_Process_2023	ATP Metabolic Process (GO:0046034)	3/34	6.484839e-04	1.054638e-02	0	0	1.982275e+01	1.455163e+02	HSPA8;ATP1B1;ALDOA
GO_Biological_Process_2023	Regulation Of Neuronal Synaptic Plasticity (GO:0048168)	3/34	6.484839e-04	1.054638e-02	0	0	1.982275e+01	1.455163e+02	APP;RAB3A;CAMK2A
GO_Biological_Process_2023	Regulation Of Vesicle Fusion (GO:0031338)	2/8	6.795552e-04	1.054638e-02	0	0	6.766667e+01	4.935655e+02	RAB3A;STXBP1
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Import Across Plasma Membrane (GO:1905665)	2/8	6.795552e-04	1.054638e-02	0	0	6.766667e+01	4.935655e+02	PPP3CA;PPP3R1
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion-Dependent Exocytosis (GO:0045956)	2/8	6.795552e-04	1.054638e-02	0	0	6.766667e+01	4.935655e+02	SYT1;STX1A
GO_Biological_Process_2023	Regulation Of Regulated Secretory Pathway (GO:1903305)	3/35	7.067159e-04	1.054638e-02	0	0	1.920232e+01	1.393106e+02	RAB3A;SYT1;SYN1
GO_Biological_Process_2023	Regulation Of Sodium Ion Transport (GO:0002028)	3/35	7.067159e-04	1.054638e-02	0	0	1.920232e+01	1.393106e+02	ATP1A1;SCN1B;YWHAH
GO_Biological_Process_2023	Hexose Biosynthetic Process (GO:0019319)	3/35	7.067159e-04	1.054638e-02	0	0	1.920232e+01	1.393106e+02	TPI1;MDH1;ENO2
GO_Biological_Process_2023	SNARE Complex Assembly (GO:0035493)	2/9	8.708672e-04	1.228098e-02	0	0	5.799708e+01	4.086487e+02	STXBP1;VAMP2
GO_Biological_Process_2023	Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane (GO:0031629)	2/9	8.708672e-04	1.228098e-02	0	0	5.799708e+01	4.086487e+02	SNAP25;STX1A
GO_Biological_Process_2023	Calcium-Mediated Signaling (GO:0019722)	4/85	8.735952e-04	1.228098e-02	0	0	1.019496e+01	7.180201e+01	PPP3CA;PPP3R1;ATP2A2;ATP1B1
GO_Biological_Process_2023	Cellular Respiration (GO:0045333)	4/85	8.735952e-04	1.228098e-02	0	0	1.019496e+01	7.180201e+01	COX8A;COX4I1;COX6A1;COX6C
GO_Biological_Process_2023	Negative Regulation Of Protein Phosphorylation (GO:0001933)	5/149	9.152048e-04	1.268212e-02	0	0	7.220760e+00	5.051906e+01	CAMK2N1;THY1;CALM1;CALM2;YWHAG
GO_Biological_Process_2023	Protein Transport (GO:0015031)	7/313	9.936441e-04	1.357514e-02	0	0	4.819664e+00	3.332379e+01	RAB3A;PRKCB;STXBP1;RAB6B;STX1A;VAMP2;YWHAH
GO_Biological_Process_2023	Regulation Of Vesicle-Mediated Transport (GO:0060627)	4/89	1.037518e-03	1.384852e-02	0	0	9.713235e+00	6.673890e+01	RAB3A;SYT1;CPLX1;VAMP2
GO_Biological_Process_2023	Regulation Of Protein Dephosphorylation (GO:0035304)	3/40	1.047695e-03	1.384852e-02	0	0	1.660323e+01	1.139175e+02	CALM1;ARPP19;CALM2
GO_Biological_Process_2023	calcineurin-NFAT Signaling Cascade (GO:0033173)	2/10	1.085038e-03	1.384852e-02	0	0	5.074490e+01	3.463918e+02	PPP3CA;PPP3R1
GO_Biological_Process_2023	Maintenance Of Synapse Structure (GO:0099558)	2/10	1.085038e-03	1.384852e-02	0	0	5.074490e+01	3.463918e+02	RAB3A;CHCHD10
GO_Biological_Process_2023	Regulation Of Calcium Ion Import Across Plasma Membrane (GO:1905664)	2/10	1.085038e-03	1.384852e-02	0	0	5.074490e+01	3.463918e+02	PPP3CA;PPP3R1
GO_Biological_Process_2023	Regulation Of Neurotransmitter Receptor Activity (GO:0099601)	3/42	1.208591e-03	1.465416e-02	0	0	1.575020e+01	1.058146e+02	APP;MEF2C;DLGAP1
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427)	3/42	1.208591e-03	1.465416e-02	0	0	1.575020e+01	1.058146e+02	PPP3CA;PPP3R1;THY1
GO_Biological_Process_2023	Substantia Nigra Development (GO:0021762)	3/42	1.208591e-03	1.465416e-02	0	0	1.575020e+01	1.058146e+02	CALM1;CALM2;YWHAH
GO_Biological_Process_2023	Regulation Of Axonogenesis (GO:0050770)	3/42	1.208591e-03	1.465416e-02	0	0	1.575020e+01	1.058146e+02	PAK1;CHN1;THY1
GO_Biological_Process_2023	Ephrin Receptor Signaling Pathway (GO:0048013)	3/43	1.294547e-03	1.550260e-02	0	0	1.535567e+01	1.021090e+02	PAK1;CHN1;NGEF
GO_Biological_Process_2023	Calcineurin-Mediated Signaling (GO:0097720)	2/11	1.321840e-03	1.563640e-02	0	0	4.510431e+01	2.989843e+02	PPP3CA;PPP3R1
GO_Biological_Process_2023	Axon Development (GO:0061564)	4/99	1.539882e-03	1.723162e-02	0	0	8.686404e+00	5.625358e+01	APP;RAB3A;CCK;APBB1
GO_Biological_Process_2023	Negative Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901386)	2/12	1.581045e-03	1.723162e-02	0	0	4.059184e+01	2.618039e+02	PPP3CA;PPP3R1
GO_Biological_Process_2023	Detection Of Calcium Ion (GO:0005513)	2/12	1.581045e-03	1.723162e-02	0	0	4.059184e+01	2.618039e+02	SYT1;CALM2
GO_Biological_Process_2023	Sodium Ion Export Across Plasma Membrane (GO:0036376)	2/12	1.581045e-03	1.723162e-02	0	0	4.059184e+01	2.618039e+02	ATP1A1;ATP1B1
GO_Biological_Process_2023	Positive Regulation Of Regulated Secretory Pathway (GO:1903307)	2/12	1.581045e-03	1.723162e-02	0	0	4.059184e+01	2.618039e+02	RAB3A;STX1A
GO_Biological_Process_2023	Positive Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901387)	2/12	1.581045e-03	1.723162e-02	0	0	4.059184e+01	2.618039e+02	PPP3CA;PPP3R1
GO_Biological_Process_2023	Regulation Of Cell Communication By Electrical Coupling (GO:0010649)	2/12	1.581045e-03	1.723162e-02	0	0	4.059184e+01	2.618039e+02	CALM1;CALM2
GO_Biological_Process_2023	Regulation Of Neuron Projection Development (GO:0010975)	5/174	1.819983e-03	1.942532e-02	0	0	6.144815e+00	3.876720e+01	NDRG4;PAK1;CHN1;SERPINI1;SCN1B
