Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Glutamate Catabolic Process (GO:0006538)	3/5	1.204016e-06	7.693665e-04	0	0	3.077010e+02	4.193918e+03	GAD1;GAD2;GLUL
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	5/68	2.294502e-05	5.629800e-03	0	0	1.657226e+01	1.770317e+02	NDUFB8;COX4I1;COX5B;COX5A;UQCRH
GO_Biological_Process_2023	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	5/70	2.643098e-05	5.629800e-03	0	0	1.606073e+01	1.692957e+02	NDUFB8;COX4I1;COX5B;COX5A;UQCRH
GO_Biological_Process_2023	Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)	4/43	6.250942e-05	7.190561e-03	0	0	2.121902e+01	2.054042e+02	COX4I1;COX5B;COX5A;UQCRH
GO_Biological_Process_2023	Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)	3/16	6.478178e-05	7.190561e-03	0	0	4.731245e+01	4.563043e+02	COX4I1;COX5B;COX5A
GO_Biological_Process_2023	Cellular Respiration (GO:0045333)	5/85	6.751701e-05	7.190561e-03	0	0	1.303947e+01	1.252198e+02	NDUFB8;COX4I1;COX5B;COX5A;UQCRH
GO_Biological_Process_2023	Myelination (GO:0042552)	4/48	9.668983e-05	8.826401e-03	0	0	1.880303e+01	1.738153e+02	PLLP;PLP1;MAL;BCAS1
GO_Biological_Process_2023	Gamma-Aminobutyric Acid Metabolic Process (GO:0009448)	2/5	2.450872e-04	1.957634e-02	0	0	1.353537e+02	1.125317e+03	GAD1;GAD2
GO_Biological_Process_2023	Intermediate Filament Bundle Assembly (GO:0045110)	2/7	5.113328e-04	3.630463e-02	0	0	8.120408e+01	6.154043e+02	NEFL;NEFM
GO_Biological_Process_2023	Sodium Ion Transmembrane Transport (GO:0035725)	4/82	7.633075e-04	4.877535e-02	0	0	1.058868e+01	7.600392e+01	ATP1A3;SLC6A11;ATP1A2;HCN2
GO_Biological_Process_2023	Neuron Projection Extension (GO:1990138)	3/39	9.726295e-04	5.516353e-02	0	0	1.706529e+01	1.183565e+02	HSP90AA1;IMPACT;S100B
GO_Biological_Process_2023	Synaptic Vesicle Exocytosis (GO:0016079)	3/41	1.126327e-03	5.516353e-02	0	0	1.616549e+01	1.097442e+02	SYT2;SYT11;CPLX1
GO_Biological_Process_2023	Substantia Nigra Development (GO:0021762)	3/42	1.208591e-03	5.516353e-02	0	0	1.575020e+01	1.058146e+02	CNP;PLP1;NDRG2
GO_Biological_Process_2023	Potassium Ion Import Across Plasma Membrane (GO:1990573)	3/42	1.208591e-03	5.516353e-02	0	0	1.575020e+01	1.058146e+02	ATP1A3;ATP1A2;HCN2
GO_Biological_Process_2023	Sodium Ion Export Across Plasma Membrane (GO:0036376)	2/12	1.581045e-03	6.735252e-02	0	0	4.059184e+01	2.618039e+02	ATP1A3;ATP1A2
GO_Biological_Process_2023	Intracellular Potassium Ion Homeostasis (GO:0030007)	2/13	1.862428e-03	7.438072e-02	0	0	3.689981e+01	2.319476e+02	ATP1A3;ATP1A2
GO_Biological_Process_2023	Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791)	2/14	2.165765e-03	8.140729e-02	0	0	3.382313e+01	2.075043e+02	SYT2;SYT11
GO_Biological_Process_2023	Glutamine Family Amino Acid Catabolic Process (GO:0009065)	2/15	2.490834e-03	8.241401e-02	0	0	3.121978e+01	1.871669e+02	GAD1;GLUL
GO_Biological_Process_2023	Chemical Synaptic Transmission (GO:0007268)	6/273	2.501235e-03	8.241401e-02	0	0	4.693521e+00	2.811875e+01	CNP;SLC32A1;GAD1;PLP1;GAD2;CPLX1
GO_Biological_Process_2023	Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064)	2/16	2.837415e-03	8.241401e-02	0	0	2.898834e+01	1.700126e+02	ATP1A3;ATP1A2
GO_Biological_Process_2023	Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012)	2/16	2.837415e-03	8.241401e-02	0	0	2.898834e+01	1.700126e+02	ATP1A2;HCN2
GO_Biological_Process_2023	Dicarboxylic Acid Catabolic Process (GO:0043649)	2/16	2.837415e-03	8.241401e-02	0	0	2.898834e+01	1.700126e+02	GAD1;GLUL
GO_Biological_Process_2023	Inorganic Cation Transmembrane Transport (GO:0098662)	6/284	3.040956e-03	8.448569e-02	0	0	4.505281e+00	2.611073e+01	KCNC1;ATP1A3;SLC6A11;ATP1A2;HCN2;RHD
GO_Biological_Process_2023	Anterograde Trans-Synaptic Signaling (GO:0098916)	5/199	3.253401e-03	8.662181e-02	0	0	5.346175e+00	3.062318e+01	CNP;GAD1;PLP1;GAD2;CPLX1
GO_Biological_Process_2023	Intracellular Sodium Ion Homeostasis (GO:0006883)	2/18	3.594237e-03	9.186870e-02	0	0	2.536224e+01	1.427495e+02	ATP1A3;ATP1A2
GO_Biological_Process_2023	Dopaminergic Neuron Differentiation (GO:0071542)	2/19	4.004046e-03	9.840712e-02	0	0	2.386915e+01	1.317684e+02	FOXA1;LMX1B
GO_Biological_Process_2023	Glutamate Metabolic Process (GO:0006536)	2/20	4.434500e-03	1.049498e-01	0	0	2.254195e+01	1.221400e+02	GAD1;GLUL
GO_Biological_Process_2023	Potassium Ion Transmembrane Transport (GO:0071805)	4/137	4.973996e-03	1.135137e-01	0	0	6.192669e+00	3.284302e+01	KCNC1;ATP1A3;ATP1A2;HCN2
GO_Biological_Process_2023	Regulation Of Dopamine Secretion (GO:0014059)	2/22	5.356497e-03	1.180276e-01	0	0	2.028571e+01	1.060830e+02	SYT2;SYT11
GO_Biological_Process_2023	Potassium Ion Homeostasis (GO:0055075)	2/23	5.847620e-03	1.245543e-01	0	0	1.931876e+01	9.933165e+01	ATP1A3;ATP1A2
