Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Monoatomic Cation Transmembrane Transport (GO:0098655)	10/281	1.453278e-06	7.667511e-04	0	0	8.047970e+00	1.081783e+02	SLC24A2;KCNC1;KCNC2;ATP6AP2;ATP2A2;ATP1A3;SLC6A11;ATP2A1;ATP1A2;HCN2
GO_Biological_Process_2023	Inorganic Cation Transmembrane Transport (GO:0098662)	10/284	1.599064e-06	7.667511e-04	0	0	7.958637e+00	1.062167e+02	SLC24A2;KCNC1;KCNC2;ATP6AP2;ATP2A2;ATP1A3;SLC6A11;ATP2A1;ATP1A2;HCN2
GO_Biological_Process_2023	Regulation Of Cardiac Conduction (GO:1903779)	4/21	3.298301e-06	1.054357e-03	0	0	4.873284e+01	6.151110e+02	ATP2A2;ATP2A1;ATP2B2;ATP2B1
GO_Biological_Process_2023	Potassium Ion Transmembrane Transport (GO:0071805)	7/137	5.714943e-06	1.370158e-03	0	0	1.144665e+01	1.381888e+02	SLC24A2;KCNJ10;KCNC1;KCNC2;ATP1A3;ATP1A2;HCN2
GO_Biological_Process_2023	Regulation Of Heart Contraction (GO:0008016)	5/69	2.464013e-05	4.725978e-03	0	0	1.631250e+01	1.730941e+02	ATP2A2;ATP2A1;ATP1A2;ATP2B2;ATP2B1
GO_Biological_Process_2023	Potassium Ion Transport (GO:0006813)	6/122	3.399754e-05	5.433940e-03	0	0	1.088628e+01	1.120114e+02	SLC24A2;KCNJ10;KCNC1;KCNC2;ATP1A2;HCN2
GO_Biological_Process_2023	Sodium Ion Transmembrane Transport (GO:0035725)	5/82	5.683113e-05	6.822340e-03	0	0	1.354956e+01	1.324527e+02	SLC24A2;ATP1A3;SLC6A11;ATP1A2;HCN2
GO_Biological_Process_2023	Potassium Ion Import Across Plasma Membrane (GO:1990573)	4/42	5.691212e-05	6.822340e-03	0	0	2.177851e+01	2.128632e+02	KCNJ10;ATP1A3;ATP1A2;HCN2
GO_Biological_Process_2023	Intracellular Calcium Ion Homeostasis (GO:0006874)	6/139	7.054367e-05	7.516820e-03	0	0	9.486642e+00	9.068545e+01	SLC24A2;ATP2A2;ATP2A1;ATP2B2;ATP2B1;KCTD17
GO_Biological_Process_2023	Inorganic Cation Import Across Plasma Membrane (GO:0098659)	5/103	1.678538e-04	1.609718e-02	0	0	1.063480e+01	9.244213e+01	SLC24A2;KCNJ10;ATP1A3;ATP1A2;HCN2
GO_Biological_Process_2023	Metal Ion Transport (GO:0030001)	6/171	2.195882e-04	1.914410e-02	0	0	7.634429e+00	6.431057e+01	RAMP3;KCNJ10;KCNC1;ATP2A1;ATP1A2;ATP2B2
GO_Biological_Process_2023	Calcium Ion Transport (GO:0006816)	5/112	2.482775e-04	1.984151e-02	0	0	9.735858e+00	8.081700e+01	SLC24A2;RAMP3;ATP2A2;ATP2A1;ATP2B2
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	9/433	3.213851e-04	2.370833e-02	0	0	4.542919e+00	3.653811e+01	DMBX1;MOBP;APLP2;NRXN1;SPOCK2;ADGRB1;SHOX2;ZIC1;SPTBN1
