Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	60/93	1.565067e-123	8.592219e-121	0	0	9.030455e+02	2.553542e+05	RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	60/158	2.052869e-104	5.635127e-102	0	0	3.030918e+02	7.236306e+04	RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	61/183	4.044285e-102	7.401042e-100	0	0	2.535641e+02	5.919869e+04	RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;APOE;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Translation (GO:0006412)	61/234	1.840671e-94	2.526320e-92	0	0	1.783529e+02	3.849442e+04	RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Gene Expression (GO:0010467)	60/296	2.454672e-85	2.695230e-83	0	0	1.249831e+02	2.434942e+04	RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPS10;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPSA;EEF1A1;RPL37A;RPL24;RPL26;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPS2;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	23/118	9.549752e-31	8.738023e-29	0	0	6.227136e+01	4.304422e+03	RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS15;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL38;RPL26;RPS11;RPS13;RPS24;RPS23
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	19/84	7.944882e-27	6.231057e-25	0	0	7.157930e+01	4.301720e+03	RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;RPS15;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS15A;RPS27;RPS19;RPS11;RPS13;RPS24;RPS23
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	22/155	3.451739e-26	2.368756e-24	0	0	4.191961e+01	2.457677e+03	RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS15;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL26;RPS11;RPS13;RPS24;RPS23
GO_Biological_Process_2023	rRNA Processing (GO:0006364)	14/101	8.527697e-17	5.201895e-15	0	0	3.707324e+01	1.371733e+03	RPS7;RPS6;RPL11;RPL35A;RPS15;RPS14;RPS25;RPS28;RPS16;RPS27;RPS19;RPL14;RPL26;RPS24
GO_Biological_Process_2023	rRNA Metabolic Process (GO:0016072)	13/91	7.578584e-16	4.160642e-14	0	0	3.797318e+01	1.322076e+03	RPS7;RPS6;RPL11;RPL35A;RPS15;RPS25;RPS28;RPS16;RPS27;RPS19;RPL14;RPL26;RPS24
